Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Podsakoff, P.M., MacKenzie, S.B., Lee, J.-Y., Podsakoff, N.P.","6603818084; 7102357879; 36671599400; 8738236500","Common Method Biases in Behavioral Research: A Critical Review of the Literature and Recommended Remedies",2003,"Journal of Applied Psychology",88,"5",,879,903,,35041,10.1037/0021-9010.88.5.879,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0141907688&partnerID=40&md5=6327369481cf69558599b2b65b8ce313",Review,Final,"",Scopus,2-s2.0-0141907688
"Hastie, T., Tibshirani, R., Friedman, J.","  ",[No title available],2001,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",,"",,,,,34198,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003684449&partnerID=40&md5=787dba1b4f85eb76ee4532914321a4fa",Article,Final,"",Scopus,2-s2.0-0003684449
"Aiken, L.S., West, S.G."," ","Multiple regression: Testing and interpreting interactions",1991,"Multiple Regression: Testing and Interpreting Interactions",,"",,,,,31002,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003622514&partnerID=40&md5=2938eeb154bed17e5a9067022e6c3364",Article,Final,"",Scopus,2-s2.0-0003622514
"Cohen, J., Cohen, P."," ",[No title available],1983,"Applied Multiple Regression/Correlation Analysis for the Behavioral Sciences",,"",,,,,30832,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003519438&partnerID=40&md5=c530c2812e5a62cf2b95d37a23f1601f",Article,Final,"",Scopus,2-s2.0-0003519438
"Creswell, J.W.","","Qualitative inquiry and research design: Choosing among five traditions",1998,"Qualitative Inquiry and Research Design: Choosing Among Five Traditions",,"",,,,,29012,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004245184&partnerID=40&md5=b23bc559945989b28fbaeac6ec7e7544",Article,Final,"",Scopus,2-s2.0-0004245184
"Barney, J.","7004413102","Firm Resources and Sustained Competitive Advantage",1991,"Journal of Management",17,"1",,99,120,,26646,10.1177/014920639101700108,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84896930624&partnerID=40&md5=228a75eeb07a75f3acdafb900965dbb6",Article,Final,"",Scopus,2-s2.0-84896930624
"Kahneman, D., Tversky, A."," ","Prospect theory: An analysis of decision under risk",1979,"Econometrica",47,"2",,263,291,,26593,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0000125532&partnerID=40&md5=308ae4f2315e162d1a15685fc8a627ea",Article,Final,"",Scopus,2-s2.0-0000125532
"Jensen, M.C., Meckling, W.H.","57208461699; 24458681000","Theory of the firm: Managerial behavior, agency costs and ownership structure",1976,"Journal of Financial Economics",3,"4",,305,360,,26505,10.1016/0304-405X(76)90026-X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-44649197264&partnerID=40&md5=6a347433dd6ff982d8a541b7ef26b361",Article,Final,"",Scopus,2-s2.0-44649197264
"Efron, B., Tibshirani, R.J."," ",[No title available],1993,"An Introduction to the Bootstrap",,"",,,,,26189,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003991665&partnerID=40&md5=55d5ec2d40834704a61bbda57c7c3df7",Article,Final,"",Scopus,2-s2.0-0003991665
"Davis, F.D.","55817507700","Perceived usefulness, perceived ease of use, and user acceptance of information technology",1989,"MIS Quarterly: Management Information Systems",13,"3",,319,339,,26129,10.2307/249008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-55249087535&partnerID=40&md5=530087d3af76585c366fbd165a04e61a",Article,Final,"",Scopus,2-s2.0-55249087535
"Bandura, A.","7005427929","Self-efficacy: Toward a unifying theory of behavioral change",1977,"Psychological Review",84,"2",,191,215,,26011,10.1037/0033-295X.84.2.191,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0017472917&partnerID=40&md5=09b86b7d18ca8025f50d06a328c93945",Article,Final,"",Scopus,2-s2.0-0017472917
"Fishbein, M., Ajzen, I."," ",[No title available],1975,"Belief, Attitude, Intention and Behavior: An Introduction to Theory and Research",,"",,,,,25743,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003551671&partnerID=40&md5=59f077d6cd044a65f41809ae21b6f1a1",Article,Final,"",Scopus,2-s2.0-0003551671
"Mandelbrot, B.B.","",[No title available],1982,"The Fractal Geometry of Nature",,"",,,,,25151,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004263139&partnerID=40&md5=c6a6828da13f07d715b41898be15fee2",Article,Final,"",Scopus,2-s2.0-0004263139
"Anderson, J.C., Gerbing, D.W.","55574240163; 16457709000","Structural Equation Modeling in Practice: A Review and Recommended Two-Step Approach",1988,"Psychological Bulletin",103,"3",,411,423,,23733,10.1037/0033-2909.103.3.411,"https://www.scopus.com/inward/record.url?eid=2-s2.0-41649112685&partnerID=40&md5=81f95e34a5d63ec1a80a62d177402e97",Article,Final,"",Scopus,2-s2.0-41649112685
"Eisenhardt, K.M.","","Building theories from case study research",1989,"Academy of Management Review",14,"4",,532,550,,23434,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0001073758&partnerID=40&md5=986484f317af20f701447a90a848d430",Article,Final,"",Scopus,2-s2.0-0001073758
"Cronbach, L.J.","6507971226","Coefficient alpha and the internal structure of tests",1951,"Psychometrika",16,"3",,297,334,,22976,10.1007/BF02310555,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33845945922&partnerID=40&md5=2acd0483f7ea0b206c10a44bb34b3498",Article,Final,"All Open Access, Green",Scopus,2-s2.0-33845945922
"Berger, P.L., Luckmann, T."," ",[No title available],1966,"The Social Construction of Reality",,"",,,,,20120,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003458607&partnerID=40&md5=2a7690c87c6c4760e3f975299b11c48e",Article,Final,"",Scopus,2-s2.0-0003458607
"Geertz, C.","",[No title available],1973,"The Interpretation of Cultures",,"",,,,,18963,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004083437&partnerID=40&md5=41cc3fbc0a1d5de6c7beac41939f37e0",Article,Final,"",Scopus,2-s2.0-0004083437
"Nonaka, I., Takeuchi, H."," ",[No title available],1995,"The Knowledge-Creating Company",,"",,,,,18762,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003684137&partnerID=40&md5=1e14301c489aede7d40be2d46c85996c",Article,Final,"",Scopus,2-s2.0-0003684137
"Preacher, K.J., Hayes, A.F.","6602519801; 7201978687","Asymptotic and resampling strategies for assessing and comparing indirect effects in multiple mediator models",2008,"Behavior Research Methods",40,"3",,879,891,,18211,10.3758/BRM.40.3.879,"https://www.scopus.com/inward/record.url?eid=2-s2.0-44949168308&partnerID=40&md5=ad5eda3df23487e36d11f0b745031858",Conference Paper,Final,"All Open Access, Bronze",Scopus,2-s2.0-44949168308
"Raudenbush, S.W., Bryk, A.S."," ",[No title available],2002,"Hierarchical Linear Models: Applications and Data Analysis Methods",,"",,,,,18170,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003967354&partnerID=40&md5=d5dabb3ac2166252f9835e604d64580c",Article,Final,"",Scopus,2-s2.0-0003967354
"Hofstede, G.","","Cultures and organizations: Software of the mind",1991,"Cultures and Organizations: Software of the Mind",,"",,,,,17777,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003443980&partnerID=40&md5=ef9d9ec3f90e037950026599149e0b72",Article,Final,"",Scopus,2-s2.0-0003443980
"Nelson, R.R., Winter, S.G."," ",[No title available],1982,"An Evolutionary Theory of Economic Change",,"",,,,,17391,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003831870&partnerID=40&md5=985d89216304c7be0f3c8e64afb1186b",Article,Final,"",Scopus,2-s2.0-0003831870
"Venkatesh, V., Morris, M.G., Davis, G.B., Davis, F.D.","35614985000; 57212421558; 7404344360; 55817507700","User acceptance of information technology: Toward a unified view",2003,"MIS Quarterly: Management Information Systems",27,"3",,425,478,,17114,10.2307/30036540,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1542382496&partnerID=40&md5=c635d7fd45a06a546dade8aea290c639",Article,Final,"",Scopus,2-s2.0-1542382496
"Cohen, W.M., Levinthal, D.A."," ","Absorptive capacity: A new perspective on learning and innovation",1990,"Administrative Science Quarterly",35,"1",,128,152,,16913,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84936166194&partnerID=40&md5=768599da487607ab9e9b8de2aa5aa81c",Article,Final,"",Scopus,2-s2.0-84936166194
"Coleman, J.S.","","Social capital in the creation of human capital",1988,"American Journal of Sociology",94,"SUPPL.",,S95,S120,,16882,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84936823500&partnerID=40&md5=ecd245e1a87214ed3840deb2dcf6cfe9",Article,Final,"",Scopus,2-s2.0-84936823500
"Festinger, L.","",[No title available],1957,"A Theory of Cognitive Dissonance",,"",,,,,16882,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004213688&partnerID=40&md5=61df0ea59f87f398356f5b91a8dc271c",Article,Final,"",Scopus,2-s2.0-0004213688
"Giddens, A.","",[No title available],1984,"The Constitution of Society: Outline of the Theory of Structuration",,"",,,,,16109,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003768337&partnerID=40&md5=06cdd014ac9207c5ecf460b7fa34145c",Article,Final,"",Scopus,2-s2.0-0003768337
"Bollen, K.A.","7003370044","Structural equations with latent variables",2014,"Structural Equations with Latent Variables",,"",,1,514,,15928,10.1002/9781118619179,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101432319&partnerID=40&md5=6c4373bc401a5822f3b6fc32ac96fa98",Book,Final,"",Scopus,2-s2.0-85101432319
"Bentler, P.M.","7005482427","Comparative fit indexes in structural models",1990,"Psychological Bulletin",107,"2",,238,246,,15893,10.1037/0033-2909.107.2.238,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0025397298&partnerID=40&md5=505572cc9b1c79780fa09dd7a027ce6c",Article,Final,"",Scopus,2-s2.0-0025397298
"Browne, M.W., Cudeck, R."," ","Alternative ways of assessing model fit",1993,"Testing Structural Equation Models",,"",,136,162,,15784,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0001233581&partnerID=40&md5=4d59015a625d24bdf01afb2101aade0e",Article,Final,"",Scopus,2-s2.0-0001233581
"Teece, D.J., Pisano, G., Shuen, A.","6701775408; 7006165945; 36966457000","Dynamic capabilities and strategic management",1997,"Strategic Management Journal",18,"7",,509,533,,15517,10.1002/(SICI)1097-0266(199708)18:7<509::AID-SMJ882>3.0.CO;2-Z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0342775775&partnerID=40&md5=2a3a2ae196e4ce83bf474d2212a71c3e",Article,Final,"All Open Access, Green",Scopus,2-s2.0-0342775775
"Draper, N.R., Smith, H.","7005349892; 57223116805","Applied regression analysis",2014,"Applied Regression Analysis",,"",,1,716,,15204,10.1002/9781118625590,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101445097&partnerID=40&md5=f296ce1f83f622248390c3d0d9850e61",Book,Final,"",Scopus,2-s2.0-85101445097
"Mead, G.H.","",[No title available],1934,"Mind, Self, and Society",,"",,,,,15192,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003891615&partnerID=40&md5=6f5c9d8bf34639dda7fd1d66f6d9d759",Article,Final,"",Scopus,2-s2.0-0003891615
"White, H.","","A heteroskedasticity-consistent covariance matrix estimator and a direct test for heteroskedasticity",1980,"Econometrica",48,"4",,817,838,,14189,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0000095552&partnerID=40&md5=3c2e1bc6aae1ff1b076a2871ddc2efc4",Article,Final,"",Scopus,2-s2.0-0000095552
"Bagozzi, R.P., Yi, Y.","7005378295; 7202372673","On the evaluation of structural equation models",1988,"Journal of the Academy of Marketing Science",16,"1",,74,94,,14024,10.1007/BF02723327,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249177591&partnerID=40&md5=231b674c7c7af444ced788ddcfc2dd5c",Article,Final,"",Scopus,2-s2.0-51249177591
"Pfeffer, J., Salancik, G.R."," ",[No title available],1978,"The External Control of Organizations: A Resource Dependence Perspective",,"",,,,,13753,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003447274&partnerID=40&md5=2883df96d56be8871060e42a2db5e97f",Article,Final,"",Scopus,2-s2.0-0003447274
"Hair, J.F., Hult, G.T.M., Ringle, C.M., Sarstedt, M.","   ",[No title available],2013,"A Primer on Partial Least Squares Structural Equation Modeling (PLS-SEM)",,"",,,,,13397,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84870388697&partnerID=40&md5=b95c78cfcae1da1093634baafe1e1b5d",Article,Final,"",Scopus,2-s2.0-84870388697
"Byrne, B.M.","","Structural equation modeling with AMOS: Basic concepts, applications, and programming",2001,"Structural Equation Modeling with AMOS: Basic Concepts, Applications, and Programming",,"",,,,,13258,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003972539&partnerID=40&md5=004b5c0708a2e6239e578b211b591268",Article,Final,"",Scopus,2-s2.0-0003972539
"Saldana, J.","","The coding manual for qualitative researchers",2009,"The Coding Manual for Qualitative Researchers",,"",,,,,13125,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-61149305668&partnerID=40&md5=ec85e0c2f27c6043888a90776d002124",Article,Final,"",Scopus,2-s2.0-61149305668
"Maslow, A.H.","",[No title available],1954,"Motivation and Personality",,"",,,,,13028,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003406439&partnerID=40&md5=08d528c4861d39918502eb64e56367c8",Article,Final,"",Scopus,2-s2.0-0003406439
"Porter, M.E.","",[No title available],1985,"Competitive Advantage: Creating and Sustaining Superior Performance",,"",,,,,13001,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003655632&partnerID=40&md5=04fe0653526d9bbb667a6f21e5c8a4ec",Article,Final,"",Scopus,2-s2.0-0003655632
"Liang, K.Y., Zeger, S.L.","7202146235; 7006338489","Longitudinal data analysis using generalized linear models",1986,"Biometrika",73,"1",,13,22,,12936,10.1093/biomet/73.1.13,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77649173768&partnerID=40&md5=b682da79c002190c0c29bcd789d37230",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-77649173768
"Coleman, J.S.","",[No title available],1994,"Foundations of Social Theory",,"",,,,,12874,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004078737&partnerID=40&md5=a1b7498210bc19f5fe064f3847e328c1",Article,Final,"",Scopus,2-s2.0-0004078737
"Williamson, O.E.","",[No title available],1975,"Markets and Hierarchies: Analysis and Antitrust Implications",,"",,,,,12747,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003965377&partnerID=40&md5=20efe3683a78c891463f18ee7ebc20a7",Article,Final,"",Scopus,2-s2.0-0003965377
"Schein, E.H.","",[No title available],1985,"Organizational Culture and Leadership",,"",,,,,12328,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003529918&partnerID=40&md5=85aa2aadfb732f17dffb2a8f023d6c6b",Article,Final,"",Scopus,2-s2.0-0003529918
"Fisher, R.A.","",[No title available],1930,"The Genetical Theory of Natural Selection",,"",,,,,12265,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003460359&partnerID=40&md5=cf97dfffce46d1c6fe31e85796c36b2c",Article,Final,"",Scopus,2-s2.0-0003460359
"Wernerfelt, B.","6603555282","A resource‐based view of the firm",1984,"Strategic Management Journal",5,"2",,171,180,,12051,10.1002/smj.4250050207,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84989133012&partnerID=40&md5=af3445f55c7518f21aab59fb51507819",Article,Final,"",Scopus,2-s2.0-84989133012
"Coase, R.H.","6506602060","The Nature of the Firm",1937,"Economica",4,"16",,386,405,,12010,10.1111/j.1468-0335.1937.tb00002.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979188687&partnerID=40&md5=100f3a0976916e0b02f0381ab82f0c94",Article,Final,"",Scopus,2-s2.0-84979188687
"Penrose, E.","",[No title available],1959,"The Theory of the Growth of the Firm",,"",,,,,11744,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004092009&partnerID=40&md5=fa63f45a42a6eb7b4f7a1697c1daf620",Article,Final,"",Scopus,2-s2.0-0004092009
"Porter, M.E.","",[No title available],1980,"Competitive Strategy",,"",,,,,11557,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003942584&partnerID=40&md5=3c801f4d87e2666ae3ca60f1fdf03b58",Article,Final,"",Scopus,2-s2.0-0003942584
"March, J.G.","","Exploration and exploitation in organizational learning",1991,"Organization Science",2,"1",,71,87,,11413,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0001812752&partnerID=40&md5=ec25d0baf8d344730c91507a5869414d",Article,Final,"",Scopus,2-s2.0-0001812752
"Cyert, R.M., March, J.G."," ","A behavioral theory of the firm",1963,"A Behavioral Theory of the Firm",,"",,,,,11214,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004192228&partnerID=40&md5=6a4546fe86ad1d01aca5a231962cd2f7",Article,Final,"",Scopus,2-s2.0-0004192228
"Cochran, W.G.","",[No title available],1977,"Sampling Techniques",,"",,,,,11042,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003396332&partnerID=40&md5=2af67e5200a426c55015ca3e2b367d4e",Article,Final,"",Scopus,2-s2.0-0003396332
"Armstrong, J.S., Overton, T.S."," ","Estimating nonresponse bias in mail surveys",1977,"Journal of Marketing Research",14,"AUGUST",,396,402,,10874,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0000357545&partnerID=40&md5=2fa89b2241e4ecf3862005075987e402",Article,Final,"",Scopus,2-s2.0-0000357545
"Chin, W.W.","","The partial least squares approach to structural equation modeling",1998,"Modern Methods for Business Research",,"",,295,336,,10795,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003095695&partnerID=40&md5=04efa989455e56bdd689b9ac2f841574",Article,Final,"",Scopus,2-s2.0-0003095695
"Neter, J., Wasserman, W., Kutner, M.H.","  ",[No title available],1990,"Applied Linear Statistical Models",,"",,,,,10675,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004149270&partnerID=40&md5=1cd7774b8cbbe93d38c952458da54954",Article,Final,"",Scopus,2-s2.0-0004149270
"DeVellis, R.F.","",[No title available],1991,"Scale Development: Theory and Applications",,"",,,,,10636,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003424727&partnerID=40&md5=4cf8f5d0488d06d214be9929328851dd",Article,Final,"",Scopus,2-s2.0-0003424727
"Polanyi, M.","","The tacit dimension",1966,"The Tacit Dimension",,"",,,,,10630,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003806577&partnerID=40&md5=56601ba59e1e8577b05b73dfcd77b8f7",Article,Final,"",Scopus,2-s2.0-0003806577
"Podsakoff, P.M., Organ, D.W.","6603818084; 7004704776","Self-Reports in Organizational Research: Problems and Prospects",1986,"Journal of Management",12,"4",,531,544,,10399,10.1177/014920638601200408,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84970235764&partnerID=40&md5=380d05df19a106bf69d97302156e1ecc",Article,Final,"",Scopus,2-s2.0-84970235764
"Mayer, R.C., Davis, J.H., Schoorman, F.D.","  ","An integrative model of organizational trust",1995,"Academy of Management Review",20,"3",,709,734,,10253,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0042495505&partnerID=40&md5=f12003e0e54ae02cb339405bc2ba5d14",Article,Final,"",Scopus,2-s2.0-0042495505
"Thompson, J.D.","",[No title available],1967,"Organizations in Action: Social Science Bases of Administrative Theory",,"",,,,,10231,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003806911&partnerID=40&md5=1b431f7f443818522d89b48cc63e4d60",Article,Final,"",Scopus,2-s2.0-0003806911
"Preacher, K.J., Hayes, A.F.","6602519801; 7201978687","SPSS and SAS procedures for estimating indirect effects in simple mediation models",2004,"Behavior Research Methods, Instruments, and Computers",36,"4",,717,731,,10207,10.3758/BF03206553,"https://www.scopus.com/inward/record.url?eid=2-s2.0-13844271275&partnerID=40&md5=a08c49ccaf8fd39b382b5e8e2f6a44e2",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-13844271275
"Nonaka, I.","","A dynamic theory of organizational knowledge creation",1994,"Organization Science",5,"1",,14,37,,10139,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0009993525&partnerID=40&md5=008c2ac6d8bfa1bbc526ad7824ec8851",Article,Final,"",Scopus,2-s2.0-0009993525
"Burt, R.S.","",[No title available],1992,"Structural Holes: The Social Structure of Competition",,"",,,,,10117,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003468139&partnerID=40&md5=70a95e969485f67e4c21a8ec3394115f",Article,Final,"",Scopus,2-s2.0-0003468139
"Dillman, D.A.","",[No title available],2000,"Mail and Internet Surveys: The Tailored Design Method",,"",,,,,9977,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004142472&partnerID=40&md5=04086678682c2e3b3132d439083c477a",Article,Final,"",Scopus,2-s2.0-0004142472
"Snijders, T.A.B., Bosker, R.J."," ",[No title available],1999,"Multilevel Analysis: An Introduction to Basic and Advanced Multilevel Modeling",,"",,,,,9847,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003560587&partnerID=40&md5=82ca47d95468cfe9b58a62be908e4f6f",Article,Final,"",Scopus,2-s2.0-0003560587
"Cook, T.D., Campbell, D.T."," ",[No title available],1979,"Quasi-experimentation: Design and Analysis Issues for Field Settings",,"",,,,,9812,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003462484&partnerID=40&md5=d36a9e1336ef913c201efbc864db71ec",Article,Final,"",Scopus,2-s2.0-0003462484
"Freeman, L.C.","7202702663","Centrality in social networks conceptual clarification",1978,"Social Networks",1,"3",,215,239,,9738,10.1016/0378-8733(78)90021-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33750177351&partnerID=40&md5=04429d6d96a0f0d029cb136d48342cf3",Article,Final,"All Open Access, Green",Scopus,2-s2.0-33750177351
"March, J.G., Simon, H.A."," ",[No title available],1993,"Organizations",,"",,,,,9662,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84967417109&partnerID=40&md5=b55f702a945d24919b287c969cef4114",Article,Final,"",Scopus,2-s2.0-84967417109
"Campbell, D.T., Fiske, D.W.","35123359200; 6603994216","Convergent and discriminant validation by the multitrait-multimethod matrix",1959,"Psychological Bulletin",56,"2",,81,105,,9586,10.1037/h0046016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33751224822&partnerID=40&md5=df9e9a559f3dac891f762d9fbef9912c",Article,Final,"",Scopus,2-s2.0-33751224822
"Nahapiet, J., Ghoshal, S.","24394168400; 7006765666","Social capital, intellectual capital, and the organizational advantage",1998,"Academy of Management Review",23,"2",,242,266,,9514,10.5465/AMR.1998.533225,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0032375624&partnerID=40&md5=0c49f2ade38ddcfad4bb43ad78ecc925",Article,Final,"",Scopus,2-s2.0-0032375624
"Stake, R.E.","","The art of case study research",1995,"The Art of Case Study Research",,"",,,,,9496,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003673549&partnerID=40&md5=ffeebc91da443b13a1af3b76fdc47e50",Article,Final,"",Scopus,2-s2.0-0003673549
"Prahalad, C.K., Hamel, G."," ","The core competence of the corporation",1990,"Harvard Business Review",68,"3",,79,91,,9337,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003106484&partnerID=40&md5=aff85ec498aec6e943c3bd9b7721694a",Article,Final,"",Scopus,2-s2.0-0003106484
"Churchill, G.A.","","A paradigm for developing better measures of marketing constructs",1979,"Journal of Marketing Research",16,"1",,64,73,,9311,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0001878819&partnerID=40&md5=ea138aaa88ca1179f90ea66962b216a2",Article,Final,"",Scopus,2-s2.0-0001878819
"Sobel, M.E.","","Asymptotic confidence intervals for indirect effects in structural equation models",1982,"Sociological Methodology",,"4",,290,312,,9230,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0002037905&partnerID=40&md5=11e04a74cea4c16700c9cfe18848e3ca",Article,Final,"",Scopus,2-s2.0-0002037905
"Grant, R.M.","15080708000","Toward a knowledge-based theory of the firm",1996,"Strategic Management Journal",17,"SUPPL. WINTER",,109,122,,9071,10.1002/smj.4250171110,"https://www.scopus.com/inward/record.url?eid=2-s2.0-2942649403&partnerID=40&md5=9f0a857b1a3fc6b7abbd4f9367410b15",Article,Final,"",Scopus,2-s2.0-2942649403
