Name,Type
IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,conference and proceedings
"MECOMM 2018 - Proceedings of the 2018 Workshop on Mobile Edge Communications, Part of SIGCOMM 2018",conference and proceedings
"2017 IEEE International Conference on Computational Photography, ICCP 2017 - Proceedings",conference and proceedings
"IoTPTS 2017 - Proceedings of the 3rd ACM International Workshop on IoT Privacy, Trust, and Security, co-located with ASIA CCS 2017",conference and proceedings
"FAT* 2019 - Proceedings of the 2019 Conference on Fairness, Accountability, and Transparency",conference and proceedings
"Proceedings - 2018 IEEE Symposium on Security and Privacy Workshops, SPW 2018",conference and proceedings
"IEEE International Conference on Computational Photography, ICCP 2018",conference and proceedings
"Proceedings - 2017 IEEE/ACM 39th International Conference on Software Engineering, ICSE 2017",conference and proceedings
"31st AAAI Conference on Artificial Intelligence, AAAI 2017",conference and proceedings
"26th International World Wide Web Conference, WWW 2017",conference and proceedings
"AVEC 2017 - Proceedings of the 7th Annual Workshop on Audio/Visual Emotion Challenge, co-located with MM 2017",conference and proceedings
Proceedings of the ACM Conference on Computer and Communications Security,conference and proceedings
IH and MMSec 2017 - Proceedings of the 2017 ACM Workshop on Information Hiding and Multimedia Security,conference and proceedings
"Proceedings - 3rd IEEE European Symposium on Security and Privacy, EURO S and P 2018",conference and proceedings
"Proceedings of the Annual International Symposium on Microarchitecture, MICRO",conference and proceedings
"32nd AAAI Conference on Artificial Intelligence, AAAI 2018",conference and proceedings
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,conference and proceedings
"Proceedings - 13th IEEE International Conference on Automatic Face and Gesture Recognition, FG 2018",conference and proceedings
Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,conference and proceedings
Proceedings of the ACM SIGMOD International Conference on Management of Data,conference and proceedings
CoNEXT 2018 - Proceedings of the 14th International Conference on Emerging Networking EXperiments and Technologies,conference and proceedings
"SERIAL 2017 - 1st Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers, Colocated with ACM/IFIP/USENIX Middleware 2017 Conference",conference and proceedings
Proceedings - IEEE International Conference on Robotics and Automation,conference and proceedings
Proceedings of the 28th USENIX Security Symposium,conference and proceedings
Proceedings - International Symposium on High-Performance Computer Architecture,conference and proceedings
CIDR 2017 - 8th Biennial Conference on Innovative Data Systems Research,conference and proceedings
"British Machine Vision Conference 2017, BMVC 2017",conference and proceedings
"20th Power Systems Computation Conference, PSCC 2018",conference and proceedings
"2017 2nd ACM/IEEE Symposium on Edge Computing, SEC 2017",conference and proceedings
"Proceedings - 2017 IEEE International Conference on Software Architecture, ICSA 2017",conference and proceedings
"2016 IEEE Conference on Visual Analytics Science and Technology, VAST 2016 - Proceedings",conference and proceedings
"2019 5th Indian Control Conference, ICC 2019 - Proceedings",conference and proceedings
"Proceedings - 2017 IEEE Winter Conference on Applications of Computer Vision, WACV 2017",conference and proceedings
"Proceedings - 2nd IEEE European Symposium on Security and Privacy, EuroS and P 2017",conference and proceedings
Proceedings - Symposium on Logic in Computer Science,conference and proceedings
Proceedings - IEEE Computer Security Foundations Symposium,conference and proceedings
WSDM 2017 - Proceedings of the 10th ACM International Conference on Web Search and Data Mining,conference and proceedings
Technical Digest - International Electron Devices Meeting,conference and proceedings
"VR/AR Network 2017 - Proceedings of the 2017 Workshop on Virtual Reality and Augmented Reality Network, Part of SIGCOMM 2017",conference and proceedings
EC 2017 - Proceedings of the 2017 ACM Conference on Economics and Computation,conference and proceedings
"Proceedings of the 16th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2019",conference and proceedings
MM 2017 - Proceedings of the 2017 ACM Multimedia Conference,conference and proceedings
Conference Record of the Annual ACM Symposium on Principles of Programming Languages,conference and proceedings
"Proceedings - 12th IEEE International Conference on Automatic Face and Gesture Recognition, FG 2017 - 1st International Workshop on Adaptive Shot Learning for Gesture Understanding and Production, AS",conference and proceedings
CoNEXT 2017 - Proceedings of the 2017 13th International Conference on emerging Networking EXperiments and Technologies,conference and proceedings
"BlockSys 2018 - Proceedings of the 1st Blockchain-Enabled Networked Sensor Systems, Part of SenSys 2018",conference and proceedings
"Proceedings - 4th IEEE European Symposium on Security and Privacy, EURO S and P 2019",conference and proceedings
"Proceedings - 25th IEEE International Symposium on High Performance Computer Architecture, HPCA 2019",conference and proceedings
"2019 IEEE Automatic Speech Recognition and Understanding Workshop, ASRU 2019 - Proceedings",conference and proceedings
"2018 IEEE Spoken Language Technology Workshop, SLT 2018 - Proceedings",conference and proceedings
MM 2018 - Proceedings of the 2018 ACM Multimedia Conference,conference and proceedings
"Proceedings - 2017 IEEE 6th International Congress on Big Data, BigData Congress 2017",conference and proceedings
"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM",conference and proceedings
HSCC 2017 - Proceedings of the 20th International Conference on Hybrid Systems: Computation and Control (part of CPS Week),conference and proceedings
ASIA CCS 2017 - Proceedings of the 2017 ACM Asia Conference on Computer and Communications Security,conference and proceedings
CIDR 2019 - 9th Biennial Conference on Innovative Data Systems Research,conference and proceedings
"IoT S and P 2018 - Proceedings of the 2018 Workshop on IoT Security and Privacy, Part of SIGCOMM 2018",conference and proceedings
"SysTEX 2017 - 2nd Workshop on System Software for Trusted Execution, Colocated with ACM SOSP 2017",conference and proceedings
IH and MMSec 2018 - Proceedings of the 6th ACM Workshop on Information Hiding and Multimedia Security,conference and proceedings
International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS,conference and proceedings
"Proceedings of the 2nd Workshop on Data Management for End-To-End Machine Learning, DEEM 2018 - In conjunction with the 2018 ACM SIGMOD/PODS Conference",conference and proceedings
Proceedings of the International Symposium on Power Semiconductor Devices and ICs,conference and proceedings
"Proceedings of the 1st International Workshop on Exploiting Artificial Intelligence Techniques for Data Management, aiDM 2018",conference and proceedings
"2018 IEEE Custom Integrated Circuits Conference, CICC 2018",conference and proceedings
"Proceedings - 2018 International Conference on Biometrics, ICB 2018",conference and proceedings
ESSCIRC 2018 - IEEE 44th European Solid State Circuits Conference,conference and proceedings
"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH",conference and proceedings
ACM EC 2018 - Proceedings of the 2018 ACM Conference on Economics and Computation,conference and proceedings
Abel Symposia,conference and proceedings
Procedia CIRP,conference and proceedings
"Proceedings - 2019 IEEE Winter Conference on Applications of Computer Vision, WACV 2019",conference and proceedings
"MECOMM 2017 - Proceedings of the 2017 Workshop on Mobile Edge Communications, Part of SIGCOMM 2017",conference and proceedings
"Proceedings of the 2013 USENIX Annual Technical Conference, USENIX ATC 2013",conference and proceedings
"CPP 2017 - Proceedings of the 6th ACM SIGPLAN Conference on Certified Programs and Proofs, co-located with POPL 2017",conference and proceedings
"8th IEEE International Workshop on Information Forensics and Security, WIFS 2016",conference and proceedings
"2018 IEEE International Conference on Pervasive Computing and Communications, PerCom 2018",conference and proceedings
"RSIP 2017 - International Workshop on Remote Sensing with Intelligent Processing, Proceedings",conference and proceedings
"SelfDN 2018 - Proceedings of the 2018 Afternoon Workshop on Self-Driving Networks, Part of SIGCOMM 2018",conference and proceedings
Transportation Research Procedia,conference and proceedings
"CPP 2019 - Proceedings of the 8th ACM SIGPLAN International Conference on Certified Programs and Proofs, Co-located with POPL 2019",conference and proceedings
"NetAI 2018 - Proceedings of the 2018 Workshop on Network Meets AI and ML, Part of SIGCOMM 2018",conference and proceedings
"Proceedings - 2018 IEEE International Conference on Edge Computing, EDGE 2018 - Part of the 2018 IEEE World Congress on Services",conference and proceedings
SERIAL 2018 - Proceedings of the 2018 Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers,conference and proceedings
IJCAI International Joint Conference on Artificial Intelligence,conference and proceedings
"Proceedings - 3rd IEEE European Symposium on Security and Privacy Workshops, EURO S and PW 2018",conference and proceedings
"ACL 2017 - 55th Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference (Long Papers)",conference and proceedings
"Proceedings of the 8th ACM Multimedia Systems Conference, MMSys 2017",conference and proceedings
Proceedings of the Workshop on Algorithm Engineering and Experiments,conference and proceedings
"SDN-NFVSec 2017 - Proceedings of the ACM International Workshop on Security in Software Defined Networks and Network Function Virtualization, co-located with CODASPY 2017",conference and proceedings
Proceedings of the IEEE Bipolar/BiCMOS Circuits and Technology Meeting,conference and proceedings
SIGCOMM 2019 - Proceedings of the 2019 Conference of the ACM Special Interest Group on Data Communication,conference and proceedings
"Proceedings - 2017 IEEE 1st International Conference on Edge Computing, EDGE 2017",conference and proceedings
"Proceedings of the 20th International Conference on Artificial Intelligence and Statistics, AISTATS 2017",conference and proceedings
"Proceedings of the 17th USENIX Conference on File and Storage Technologies, FAST 2019",conference and proceedings
"MobiSys 2017 - Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services",conference and proceedings
"2018 IEEE International Conference on Soft Robotics, RoboSoft 2018",conference and proceedings
"Proceedings of the 2017 IEEE International Symposium on Mixed and Augmented Reality, ISMAR 2017",conference and proceedings
"2017 IEEE International Conference on Pervasive Computing and Communications Workshops, PerCom Workshops 2017",conference and proceedings
Proceedings of the Custom Integrated Circuits Conference,conference and proceedings
ASE 2018 - Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,conference and proceedings
"ACL 2018 - 56th Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference (Long Papers)",conference and proceedings
ESSCIRC 2019 - IEEE 45th European Solid State Circuits Conference,conference and proceedings
Proceedings - International Conference on Distributed Computing Systems,conference and proceedings
Proceedings - International Symposium on Biomedical Imaging,conference and proceedings
IEEE International Symposium on Information Theory - Proceedings,conference and proceedings
"CPS-SPC 2017 - Proceedings of the 2017 Workshop on Cyber-Physical Systems Security and PrivaCy, co-located with CCS 2017",conference and proceedings
"Proceedings - 26th IEEE International Symposium on Modeling, Analysis and Simulation of Computer and Telecommunication Systems, MASCOTS 2018",conference and proceedings
IEEE International Conference on Intelligent Robots and Systems,conference and proceedings
"Proceedings of the 17th SIAM International Conference on Data Mining, SDM 2017",conference and proceedings
"Proceedings of the Proceedings of the 10th European Workshop on Systems Security, EuroSec 2017, co-located with European Conference on Computer Systems, EuroSys 2017",conference and proceedings
"Proceedings - 2019 IEEE Winter Conference on Applications of Computer Vision Workshops, WACVW 2019",conference and proceedings
"Proceedings of the 2018 IEEE International Symposium on Mixed and Augmented Reality, ISMAR 2018",conference and proceedings
"Proceedings of the IEEE Real-Time and Embedded Technology and Applications Symposium, RTAS",conference and proceedings
"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2017",conference and proceedings
"Proceedings of the 12th European Conference on Computer Systems, EuroSys 2017",conference and proceedings
"2017 14th IEEE International Conference on Advanced Video and Signal Based Surveillance, AVSS 2017",conference and proceedings
RecSys 2017 - Proceedings of the 11th ACM Conference on Recommender Systems,conference and proceedings
ISSTA 2018 - Proceedings of the 27th ACM SIGSOFT International Symposium on Software Testing and Analysis,conference and proceedings
SERIAL 2019 - Proceedings of the 2019 3rd Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers,conference and proceedings
"10th IEEE International Workshop on Information Forensics and Security, WIFS 2018",conference and proceedings
"Proceedings of 2017 SAR in Big Data Era: Models, Methods and Applications, BIGSARDATA 2017",conference and proceedings
"Proceedings - 2016 International Workshop on Secure Internet of Things, SIoT 2016",conference and proceedings
"USENIX Workshop on Hot Topics in Edge Computing, HotEdge 2018, co-located with USENIX ATC 2018",conference and proceedings
"2017 2nd International Conference on Fog and Mobile Edge Computing, FMEC 2017",conference and proceedings
"2018 IEEE 9th International Symposium on Sensorless Control for Electrical Drives, SLED 2018",conference and proceedings
"35th International Conference on Machine Learning, ICML 2018",conference and proceedings
Annual ACM Symposium on Parallelism in Algorithms and Architectures,conference and proceedings
"2018 17th Annual Mediterranean Ad Hoc Networking Workshop, Med-Hoc-Net 2018",conference and proceedings
"Adjunct Proceedings - 2018 IEEE International Symposium on Mixed and Augmented Reality, ISMAR-Adjunct 2018",conference and proceedings
DIVANet 2018 - Proceedings of the 8th ACM Symposium on Design and Analysis of Intelligent Vehicular Networks and Applications,conference and proceedings
"Proceedings - 2nd IEEE European Symposium on Security and Privacy Workshops, EuroS and PW 2017",conference and proceedings
"Proceedings of the 11th International Conference on Web and Social Media, ICWSM 2017",conference and proceedings
"Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing",conference and proceedings
"Proceedings - IEEE International Conference on Data Mining, ICDM",conference and proceedings
ASIACCS 2018 - Proceedings of the 2018 ACM Asia Conference on Computer and Communications Security,conference and proceedings
"Leibniz International Proceedings in Informatics, LIPIcs",conference and proceedings
"Proceedings - 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2018",conference and proceedings
"EMNLP 2017 - Conference on Empirical Methods in Natural Language Processing, Proceedings",conference and proceedings
SIGIR 2017 - Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval,conference and proceedings
ESSCIRC 2017 - 43rd IEEE European Solid State Circuits Conference,conference and proceedings
"Proceedings - 2018 3rd ACM/IEEE Symposium on Edge Computing, SEC 2018",conference and proceedings
"Proceedings of the 16th USENIX Conference on File and Storage Technologies, FAST 2018",conference and proceedings
"Proceedings of the Workshop on Privacy by Design in Distributed Systems, P2DS 2018, co-located with European Conference on Computer Systems, EuroSys 2018",conference and proceedings
"AVEC 2019 - Proceedings of the 9th International Audio/Visual Emotion Challenge and Workshop, co-located with MM 2019",conference and proceedings
"2017 IEEE Fog World Congress, FWC 2017",conference and proceedings
"2018 15th Learning and Technology Conference, L and T 2018",conference and proceedings
"CPSS 2017 - Proceedings of the 3rd ACM Workshop on Cyber-Physical System Security, co-located with ASIA CCS 2017",conference and proceedings
"Proceedings - 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2017",conference and proceedings
"Proceedings - 2019 IEEE International Conference on Edge Computing, EDGE 2019 - Part of the 2019 IEEE World Congress on Services",conference and proceedings
Proceedings - SCA 2017: ACM SIGGRAPH / Eurographics Symposium on Computer Animation,conference and proceedings
"2018 IEEE Wireless Communications and Networking Conference Workshops, WCNCW 2018",conference and proceedings
"Proceedings - 7th Biennial Workshop Evaluation and Beyond: Methodological Approaches for Visualization, BELIV 2018",conference and proceedings
"2016 Cloudification of the Internet of Things, CIoT 2016",conference and proceedings
"Proceedings - 2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Practice Track, ICSE-SEIP 2017",conference and proceedings
"Proceedings of the 2017 IEEE International Symposium on Hardware Oriented Security and Trust, HOST 2017",conference and proceedings
Proceedings - Design Automation Conference,conference and proceedings
IWBOSE 2019 - 2019 IEEE 2nd International Workshop on Blockchain Oriented Software Engineering,conference and proceedings
"Proceedings - 2017 IEEE/ACM 2nd International Conference on Internet-of-Things Design and Implementation, IoTDI 2017 (part of CPS Week)",conference and proceedings
"Proceedings - International Symposium on Wearable Computers, ISWC",conference and proceedings
Proceedings of Symposia in Pure Mathematics,conference and proceedings
"2017 IEEE International Conference on Pervasive Computing and Communications, PerCom 2017",conference and proceedings
"Proceedings - 9th ACM/IEEE International Conference on Cyber-Physical Systems, ICCPS 2018",conference and proceedings
"Society of Petroleum Engineers - SPE Hydraulic Fracturing Technology Conference and Exhibition 2018, HFTC 2018",conference and proceedings
"CRYBLOCK 2018 - Proceedings of the 1st Workshop on Cryptocurrencies and Blockchains for Distributed Systems, Part of MobiSys 2018",conference and proceedings
"2018 IEEE BiCMOS and Compound Semiconductor Integrated Circuits and Technology Symposium, BCICTS 2018",conference and proceedings
"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers",conference and proceedings
"2019 Optical Fiber Communications Conference and Exhibition, OFC 2019 - Proceedings",conference and proceedings
INFOCOM 2018 - IEEE Conference on Computer Communications Workshops,conference and proceedings
Society of Petroleum Engineers - SPE Hydraulic Fracturing Technology Conference and Exhibition 2017,conference and proceedings
ACM/IEEE International Conference on Human-Robot Interaction,conference and proceedings
"WOSC 2017 - Proceedings of the 2nd International Workshop on Serverless Computing, Part of Middleware 2017",conference and proceedings
"Proceedings of the 2017 21st International Conference on Process Control, PC 2017",conference and proceedings
"CarSys 2017 - Proceedings of the 2nd ACM International Workshop on Smart, Autonomous, and Connected Vehicular Systems and Services, co-located with MobiCom 2017",conference and proceedings
"Proceedings of the 2019 IEEE Conference on Network Softwarization: Unleashing the Power of Network Softwarization, NetSoft 2019",conference and proceedings
IEEE MTT-S International Microwave Symposium Digest,conference and proceedings
IWCIT 2018 - Iran Workshop on Communication and Information Theory,conference and proceedings
"2016 IEEE Workshop on Spoken Language Technology, SLT 2016 - Proceedings",conference and proceedings
"2017 IEEE Conference on Standards for Communications and Networking, CSCN 2017",conference and proceedings
"2019 IEEE International Conference on Communications Workshops, ICC Workshops 2019 - Proceedings",conference and proceedings
"Proceedings - International Conference for High Performance Computing, Networking, Storage, and Analysis, SC 2018",conference and proceedings
"Proceedings - 2017 ACM/IEEE 8th International Conference on Cyber-Physical Systems, ICCPS 2017 (part of CPS Week)",conference and proceedings
"Proceedings - 2018 IEEE 15th International Conference on Software Architecture, ICSA 2018",conference and proceedings
"2016 IEEE 3rd World Forum on Internet of Things, WF-IoT 2016",conference and proceedings
"Proceedings - 2017 IEEE/ACM 2nd International Workshop on Metamorphic Testing, MET 2017",conference and proceedings
"2017 IEEE/ACM 25th International Symposium on Quality of Service, IWQoS 2017",conference and proceedings
"Proceedings of NetEcon 2017 the 12th Workshop on the Economics of Networks, Systems and Computation - In Conjunction with ACM EC 2017 the 18th ACM Conference on Economics and Computation",conference and proceedings
"Proceedings of the 1st Workshop on Data Management for End-To-End Machine Learning, DEEM 2017 - In conjunction with the 2017 ACM SIGMOD/PODS Conference",conference and proceedings
IEEE International Working Conference on Mining Software Repositories,conference and proceedings
"Proceedings of the 2019 USENIX Annual Technical Conference, USENIX ATC 2019",conference and proceedings
SOUPS 2015 - Proceedings of the 11th Symposium on Usable Privacy and Security,conference and proceedings
Conference Proceedings - IEEE Applied Power Electronics Conference and Exposition - APEC,conference and proceedings
"EMDL 2017 - Proceedings of the 1st International Workshop on Deep Learning for Mobile Systems and Applications, co-located with MobiSys 2017",conference and proceedings
"Proceedings - 2017 Resilience Week, RWS 2017",conference and proceedings
"Proceedings - ACM/IEEE International Conference on Internet of Things Design and Implementation, IoTDI 2018",conference and proceedings
Energy Procedia,conference and proceedings
ESEC/FSE 2018 - Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,conference and proceedings
"2018 IEEE Global Communications Conference, GLOBECOM 2018 - Proceedings",conference and proceedings
"DIVANet 2017 - Proceedings of the 6th ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications, Co-located with MSWiM 2017",conference and proceedings
FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,conference and proceedings
"Proceedings International Conference on Automated Planning and Scheduling, ICAPS",conference and proceedings
"MobiSys 2018 - Proceedings of the 16th ACM International Conference on Mobile Systems, Applications, and Services",conference and proceedings
Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,conference and proceedings
"SANER 2017 - 24th IEEE International Conference on Software Analysis, Evolution, and Reengineering",conference and proceedings
"Eurographics Workshop on 3D Object Retrieval, EG 3DOR",conference and proceedings
"Proceedings - 2017 IEEE/ACM 12th International Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2017",conference and proceedings
"2016 IEEE Conference on Network Function Virtualization and Software Defined Networks, NFV-SDN 2016",conference and proceedings
"IEEE 5G World Forum, 5GWF 2019 - Conference Proceedings",conference and proceedings
"Proceedings - 2019 International Conference on Process Mining, ICPM 2019",conference and proceedings
"2017 IEEE International Conference on Communications Workshops, ICC Workshops 2017",conference and proceedings
"Proceedings - 2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGRID 2017",conference and proceedings
"7th USENIX Workshop on Free and Open Communications on the Internet, FOCI 2017, co-located with USENIX Security 2017",conference and proceedings
ENASE 2018 - Proceedings of the 13th International Conference on Evaluation of Novel Approaches to Software Engineering,conference and proceedings
"Proceedings of the 17th Conference on Formal Methods in Computer-Aided Design, FMCAD 2017",conference and proceedings
"Proceedings - 2017 IEEE International Conference on Software Maintenance and Evolution, ICSME 2017",conference and proceedings
"Proceedings - ACM/IEEE 20th International Conference on Model Driven Engineering Languages and Systems, MODELS 2017",conference and proceedings
"2018 IEEE International Conference on Communications Workshops, ICC Workshops 2018 - Proceedings",conference and proceedings
"2018 IEEE International Interconnect Technology Conference, IITC 2018",conference and proceedings
Proceedings of the American Control Conference,conference and proceedings
"2017 IEEE Power and Energy Conference at Illinois, PECI 2017",conference and proceedings
"Proceedings - IEEE 34th International Conference on Data Engineering, ICDE 2018",conference and proceedings
"2018 International Conference on Military Communications and Information Systems, ICMCIS 2018",conference and proceedings
"ACL 2017 - 55th Annual Meeting of the Association for Computational Linguistics, Proceedings of System Demonstrations",conference and proceedings
RoboSoft 2019 - 2019 IEEE International Conference on Soft Robotics,conference and proceedings
AI4Mobile 2019 - 2019 IEEE 1st International Workshop on Artificial Intelligence for Mobile,conference and proceedings
"2018 Information Theory and Applications Workshop, ITA 2018",conference and proceedings
"Proceedings of the 13th Symposium on Usable Privacy and Security, SOUPS 2017",conference and proceedings
WSDM 2019 - Proceedings of the 12th ACM International Conference on Web Search and Data Mining,conference and proceedings
Conference Record - International Conference on Communications,conference and proceedings
Society of Petroleum Engineers - SPE Unconventional Resources Conference 2017,conference and proceedings
"2017 IEEE International Conference on Prognostics and Health Management, ICPHM 2017",conference and proceedings
"2018 15th Annual IEEE International Conference on Sensing, Communication, and Networking, SECON 2018",conference and proceedings
"Proceedings - 2018 IEEE International Conference on Cloud Engineering, IC2E 2018",conference and proceedings
"MaLTeSQuE 2019 - Proceedings of the 3rd ACM SIGSOFT International Workshop on Machine Learning Techniques for Software Quality Evaluation, co-located with ESEC/FSE 2019",conference and proceedings
L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,conference and proceedings
"CPSS 2018 - Proceedings of the 4th ACM Workshop on Cyber-Physical System Security, Co-located with ASIA CCS 2018",conference and proceedings
"Proceedings - 2017 IEEE International Symposium on Predictive Control of Electrical Drives and Power Electronics, PRECEDE 2017",conference and proceedings
"2019 IEEE International Conference on Pervasive Computing and Communications, PerCom 2019",conference and proceedings
"GIoTS 2017 - Global Internet of Things Summit, Proceedings",conference and proceedings
"2017 IEEE 18th Workshop on Control and Modeling for Power Electronics, COMPEL 2017",conference and proceedings
GECCO 2017 - Proceedings of the 2017 Genetic and Evolutionary Computation Conference,conference and proceedings
GECCO 2018 - Proceedings of the 2018 Genetic and Evolutionary Computation Conference,conference and proceedings
"Proceedings of WORKS 2018: 13th Workshop on Workflows in Support of Large-Scale Science, Held in conjunction with SC 2018: The International Conference for High Performance Computing, Networking, Sto",conference and proceedings
SOSP 2019 - Proceedings of the 27th ACM Symposium on Operating Systems Principles,conference and proceedings
"Proceedings - 2017 IEEE 12th International Conference on Global Software Engineering, ICGSE 2017",conference and proceedings
"2018 Picture Coding Symposium, PCS 2018 - Proceedings",conference and proceedings
"Proceedings - 2019 International Conference on Computer Vision Workshop, ICCVW 2019",conference and proceedings
"6th International Conference on Learning Representations, ICLR 2018 - Workshop Track Proceedings",conference and proceedings
"International Conference on Artificial Intelligence and Statistics, AISTATS 2018",conference and proceedings
Proceedings - International Conference on Data Engineering,conference and proceedings
ACM EC 2019 - Proceedings of the 2019 ACM Conference on Economics and Computation,conference and proceedings
ICN 2017 - Proceedings of the 4th ACM Conference on Information Centric Networking,conference and proceedings
"2019 1st International Conference on Unmanned Vehicle Systems-Oman, UVS 2019",conference and proceedings
ISSTA 2017 - Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis,conference and proceedings
"Proceedings of the 10th ACM Conference on Security and Privacy in Wireless and Mobile Networks, WiSec 2017",conference and proceedings
FOGA 2017 - Proceedings of the 14th ACM/SIGEVO Conference on Foundations of Genetic Algorithms,conference and proceedings
"Proceedings of MLHPC 2016: Machine Learning in HPC Environments - Held in conjunction with SC 2016: The International Conference for High Performance Computing, Networking, Storage and Analysis",conference and proceedings
Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),conference and proceedings
Proceedings - SPE Symposium on Improved Oil Recovery,conference and proceedings
Advances in Modal Logic,conference and proceedings
"2018 IEEE/ACM 26th International Symposium on Quality of Service, IWQoS 2018",conference and proceedings
"2018 IEEE 6th Workshop on Wide Bandgap Power Devices and Applications, WiPDA 2018",conference and proceedings
