Name,Type
Annual Review of Organizational Psychology and Organizational Behavior,journal
European Urology,journal
Personality and Social Psychology Review,journal
Journal of Economic Perspectives,journal
Neuron,journal
Nature Electronics,journal
Genome Research,journal
Nature Structural and Molecular Biology,journal
Annual Review of Pathology: Mechanisms of Disease,journal
Foundations and Trends in Finance,journal
Clinical Microbiology Reviews,journal
Progress in Materials Science,journal
Nature Physics,journal
Annual Review of Biophysics,journal
Nature Immunology,journal
"Lancet Respiratory Medicine,The",journal
Genome Biology,journal
Nucleic Acids Research,journal
Review of Economics and Statistics,journal
Journal of Consumer Research,journal
Cell Stem Cell,journal
NCHS data brief,journal
JAMA Oncology,journal
Science immunology,journal
Nature Reviews Gastroenterology and Hepatology,journal
Trends in Cell Biology,journal
ACS Energy Letters,journal
"Lancet Diabetes and Endocrinology,The",journal
Journal of the American Mathematical Society,journal
Molecular Systems Biology,journal
Journal of Experimental Medicine,journal
Accounts of Chemical Research,journal
Academy of Management Review,journal
Gut,journal
Materials Science and Engineering: R: Reports,journal
Annual Review of Condensed Matter Physics,journal
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,journal
Annual Review of Clinical Psychology,journal
Journal of Labor Economics,journal
Pharmacological Reviews,journal
Progress in Energy and Combustion Science,journal
Reviews of Geophysics,journal
Materials Today,journal
Trends in Chemistry,journal
Annals of Mathematics,journal
Morbidity and Mortality Weekly Report,journal
Cell Host and Microbe,journal
"Lancet Global Health,The",journal
Annals of Oncology,journal
Physical Review X,journal
American Economic Journal: Economic Policy,journal
Gastroenterology,journal
Annual Review of Microbiology,journal
Journal of Marketing,journal
Circulation,journal
Journal of the European Economic Association,journal
Fungal Diversity,journal
Nature Reviews Endocrinology,journal
Cell Systems,journal
Journal of Statistical Software,journal
JAMA Psychiatry,journal
Reports on Progress in Physics,journal
Journal of Management,journal
EMBO Journal,journal
"Lancet Infectious Diseases, The",journal
Nature Protocols,journal
"Lancet Psychiatry,The",journal
Cell Research,journal
Acta Crystallographica Section D: Structural Biology,journal
Manufacturing and Service Operations Management,journal
Nature Microbiology,journal
Molecular Cancer,journal
Nature Reviews Neurology,journal
"Lancet Public Health, The",journal
Progress in Retinal and Eye Research,journal
Acta Neuropathologica,journal
Annual Review of Economics,journal
Progress in Particle and Nuclear Physics,journal
Genes and Development,journal
Brookings Papers on Economic Activity,journal
Systematic Biology,journal
Journal of the American Chemical Society,journal
Journal of Hepatology,journal
Journal of Business Venturing,journal
Chem,journal
Psychological Methods,journal
Organization Science,journal
Physics Reports,journal
Living Reviews in Solar Physics,journal
Trends in Cognitive Sciences,journal
Ecology Letters,journal
Immunological Reviews,journal
Science Translational Medicine,journal
Cancer Discovery,journal
Journal of Accounting Research,journal
Nature Climate Change,journal
Alzheimer's and Dementia,journal
American Journal of Human Genetics,journal
Advances in Optics and Photonics,journal
Molecular Biology and Evolution,journal
Diabetes Care,journal
Journal of Accounting and Economics,journal
IEEE Communications Surveys and Tutorials,journal
Journal of the Royal Statistical Society. Series B: Statistical Methodology,journal
Journal of Applied Psychology,journal
Trends in Ecology and Evolution,journal
Nature Chemical Biology,journal
Microbiology and Molecular Biology Reviews,journal
Endocrine Reviews,journal
Trends in Immunology,journal
American Journal of Political Science,journal
Annals of the Rheumatic Diseases,journal
Journal of Marketing Research,journal
Trends in Biochemical Sciences,journal
Journal of Clinical Investigation,journal
American Sociological Review,journal
American Journal of Respiratory and Critical Care Medicine,journal
Cell Reports,journal
Annual Review of Public Health,journal
Analytic Methods in Accident Research,journal
Annual Review of Phytopathology,journal
Studies in Mycology,journal
JACC: Heart Failure,journal
JAMA Cardiology,journal
Light: Science and Applications,journal
Personnel Psychology,journal
Advanced Functional Materials,journal
Annual Review of Medicine,journal
Cold Spring Harbor perspectives in biology,journal
Review of Educational Research,journal
Nature Biomedical Engineering,journal
Progress in Polymer Science,journal
Journal of Extracellular Vesicles,journal
Marketing Science,journal
Science advances,journal
FEMS Microbiology Reviews,journal
Organizational Research Methods,journal
Annual Review of Marine Science,journal
eLife,journal
American Political Science Review,journal
Annals of Statistics,journal
Educational Psychologist,journal
Journal of Human Resources,journal
Angewandte Chemie - International Edition,journal
Nature Ecology and Evolution,journal
Journal of the National Cancer Institute,journal
JACC: Cardiovascular Imaging,journal
Nano Energy,journal
Trends in Genetics,journal
Accounting Review,journal
Annual Review of Genomics and Human Genetics,journal
Clinical Psychology Review,journal
Science Robotics,journal
Nature Reviews Nephrology,journal
Annual Review of Virology,journal
Nano Today,journal
Molecular Neurodegeneration,journal
Genome Medicine,journal
Nature Communications,journal
ACS Nano,journal
Annual Review of Entomology,journal
Inventiones Mathematicae,journal
Blood,journal
International Organization,journal
Journal of the Academy of Marketing Science,journal
Nature Reviews Cardiology,journal
Hepatology,journal
"Lancet HIV,The",journal
American Journal of Psychiatry,journal
Journal of Financial Intermediation,journal
Nature Geoscience,journal
Clinical Cancer Research,journal
Journal of Cell Biology,journal
Advanced Science,journal
Nature Plants,journal
Entrepreneurship Theory and Practice,journal
"Lancet Haematology,The",journal
American Economic Journal: Microeconomics,journal
Biological Psychiatry,journal
Plant Cell,journal
JAMA Neurology,journal
Microbiome,journal
Developmental Cell,journal
MIS Quarterly: Management Information Systems,journal
Perspectives on Psychological Science,journal
Energy Storage Materials,journal
Wiley interdisciplinary reviews. RNA,journal
Advances in Physics,journal
Coordination Chemistry Reviews,journal
European Journal of Heart Failure,journal
Brain,journal
JAMA Internal Medicine,journal
Current Opinion in Cell Biology,journal
Wiley Interdisciplinary Reviews: Computational Molecular Science,journal
Applied Physics Reviews,journal
Optica,journal
Molecular Psychiatry,journal
Journal of Business and Economic Statistics,journal
Strategic Entrepreneurship Journal,journal
Journal for ImmunoTherapy of Cancer,journal
Ophthalmology,journal
Proceedings of the National Academy of Sciences of the United States of America,journal
Biological Reviews,journal
Leadership Quarterly,journal
Journal of Monetary Economics,journal
Human Reproduction Update,journal
Cancer Immunology Research,journal
Journal of the American Statistical Association,journal
International Review of Sport and Exercise Psychology,journal
Annual Review of Pharmacology and Toxicology,journal
Management Science,journal
Review of Finance,journal
EMBO Molecular Medicine,journal
Circulation Research,journal
ACS Catalysis,journal
"Lancet Gastroenterology and Hepatology, The",journal
Nature Machine Intelligence,journal
ACS Central Science,journal
Nano Letters,journal
PLoS Medicine,journal
Nature Metabolism,journal
Journal of International Business Studies,journal
Seminars in Immunopathology,journal
Annals of Neurology,journal
Annual Review of Physical Chemistry,journal
Trends in Neurosciences,journal
JAMA - Journal of the American Medical Association,journal
Psychological Review,journal
Economic Journal,journal
SIAM Review,journal
Applied Catalysis B: Environmental,journal
Small Methods,journal
Global Environmental Change,journal
Journal of Financial and Quantitative Analysis,journal
Critical Reviews in Biochemistry and Molecular Biology,journal
Cement and Concrete Research,journal
Foundations and Trends in Signal Processing,journal
Journal of Economic Growth,journal
Molecular Plant,journal
Trends in Plant Science,journal
Journal of Differential Geometry,journal
EMBO Reports,journal
Economic Policy,journal
Journal of Thoracic Oncology,journal
Leukemia,journal
Journal of Occupational Health Psychology,journal
Nature Sustainability,journal
Persoonia: Molecular Phylogeny and Evolution of Fungi,journal
Trends in Microbiology,journal
Annual Review of Criminology,journal
International Journal of Management Reviews,journal
Journal of Personality and Social Psychology,journal
Journal of the American Society of Nephrology : JASN,journal
Organization Studies,journal
Journal of Service Research,journal
Journal of Consumer Psychology,journal
ISME Journal,journal
Review of Accounting Studies,journal
Theoretical Economics,journal
Journal of Management Studies,journal
Matrix Biology,journal
Journal of the Association of Environmental and Resource Economists,journal
Review of Asset Pricing Studies,journal
European Heart Journal,journal
British Journal of Sports Medicine,journal
Materials Horizons,journal
Journal of Hematology and Oncology,journal
Foundations and Trends in Machine Learning,journal
Review of Corporate Finance Studies,journal
Signal Transduction and Targeted Therapy,journal
Progress in Human Geography,journal
Cancer Treatment Reviews,journal
Sleep Medicine Reviews,journal
Ecological Monographs,journal
Annual Review of Nutrition,journal
Current Opinion in Neurobiology,journal
Review of Environmental Economics and Policy,journal
"Psychological Science in the Public Interest, Supplement",journal
Acta Mathematica,journal
Trends in Cancer,journal
Current Opinion in Plant Biology,journal
Journal of Public Administration Research and Theory,journal
Annals of Surgery,journal
Journal of Computer-Mediated Communication,journal
Global Change Biology,journal
Annual Review of Biomedical Engineering,journal
Matter,journal
PLoS Biology,journal
Arthritis and Rheumatology,journal
Cancer Research,journal
JCI insight,journal
Sports Medicine,journal
Earth System Science Data,journal
Quantitative Economics,journal
Journal of the Learning Sciences,journal
Structural Equation Modeling,journal
European Respiratory Journal,journal
Comparative Political Studies,journal
Drug Resistance Updates,journal
Neuro-Oncology,journal
JAMA Pediatrics,journal
Annual Review of Vision Science,journal
Research in Organizational Behavior,journal
Political Analysis,journal
BMC Biology,journal
Geometric and Functional Analysis,journal
Applied Linguistics,journal
Journal of Organizational Behavior,journal
Current Opinion in Structural Biology,journal
Autophagy,journal
Frontiers in Ecology and the Environment,journal
Progress in Neurobiology,journal
npj 2D Materials and Applications,journal
Seminars in Cancer Biology,journal
Annual Review of Financial Economics,journal
Journal of Engineering Education,journal
Duke Mathematical Journal,journal
Earth-Science Reviews,journal
Journal of Urban Economics,journal
Trends in Pharmacological Sciences,journal
Molecular Therapy,journal
Current Opinion in Immunology,journal
Econometrics Journal,journal
Cold Spring Harbor perspectives in medicine,journal
Long Range Planning,journal
Annals of Internal Medicine,journal
Health Affairs,journal
Journal of Public Economics,journal
npj Flexible Electronics,journal
European Journal of Epidemiology,journal
Schizophrenia Bulletin,journal
Current Biology,journal
American Journal of Mathematics,journal
IEEE Transactions on Pattern Analysis and Machine Intelligence,journal
Journal of Abnormal Psychology,journal
Social Issues and Policy Review,journal
Operations Research,journal
Trends in Molecular Medicine,journal
Small,journal
Laser and Photonics Reviews,journal
Journal of Econometrics,journal
Seminars in Immunology,journal
Journal of International Economics,journal
International Materials Reviews,journal
JAMA Surgery,journal
American Journal of Sociology,journal
Development (Cambridge),journal
Journal of Communication,journal
Journal of Supply Chain Management,journal
New Phytologist,journal
Review of Economic Dynamics,journal
Chemistry of Materials,journal
International Journal of Research in Marketing,journal
Periodontology 2000,journal
PLoS Pathogens,journal
Journal of the National Comprehensive Cancer Network : JNCCN,journal
Journal of Economic Theory,journal
Physical Review Letters,journal
Chemical Science,journal
RAND Journal of Economics,journal
Communication Methods and Measures,journal
Current Opinion in Microbiology,journal
"Vital and health statistics. Series 2, Data evaluation and methods research",journal
Research Policy,journal
ACS Materials Letters,journal
Current Climate Change Reports,journal
Science Signaling,journal
Intensive Care Medicine,journal
Geometry and Topology,journal
Journal of Child Psychology and Psychiatry and Allied Disciplines,journal
Developmental Review,journal
Journal of Operations Management,journal
Psychological Science,journal
Astrophysical Journal Letters,journal
Current Directions in Psychological Science,journal
Journal of Materials Chemistry A,journal
Educational Evaluation and Policy Analysis,journal
Progress in Lipid Research,journal
Surface Science Reports,journal
Remote Sensing of Environment,journal
Blood Cancer Journal,journal
Journal of World Business,journal
Bioinformatics,journal
Mucosal Immunology,journal
Neuroscience and Biobehavioral Reviews,journal
Educational Psychology Review,journal
Journal of Development Economics,journal
PLoS Genetics,journal
IEEE Transactions on Smart Grid,journal
Multivariate Behavioral Research,journal
mBio,journal
Plant Physiology,journal
Journal of Heart and Lung Transplantation,journal
Journal of the European Mathematical Society,journal
"Astrophysical Journal, Supplement Series",journal
"Lancet Planetary Health, The",journal
Catalysis Reviews - Science and Engineering,journal
Psychotherapy and Psychosomatics,journal
Plant Biotechnology Journal,journal
Ageing Research Reviews,journal
American Educational Research Journal,journal
Renewable and Sustainable Energy Reviews,journal
Trends in Endocrinology and Metabolism,journal
Genetics in Medicine,journal
Information Systems Research,journal
Ocular Surface,journal
New Media and Society,journal
Kidney International,journal
Digital Journalism,journal
American Journal of Obstetrics and Gynecology,journal
Biostatistics,journal
Molecular Aspects of Medicine,journal
Journal of Politics,journal
npj Computational Materials,journal
Modern Language Journal,journal
Journal of Neuroscience,journal
Advanced Drug Delivery Reviews,journal
Nano-Micro Letters,journal
Criminology,journal
Diabetologia,journal
BMC Medicine,journal
IEEE Transactions on Evolutionary Computation,journal
Pharmacology and Therapeutics,journal
Journal of Clinical Periodontology,journal
Review of Research in Education,journal
Clinical Infectious Diseases,journal
IEEE Transactions on Automatic Control,journal
Biochimica et Biophysica Acta - Reviews on Cancer,journal
Nature Human Behaviour,journal
Methods in Ecology and Evolution,journal
International Journal of Machine Tools and Manufacture,journal
Cellular and Molecular Gastroenterology and Hepatology,journal
Cell Discovery,journal
Current Opinion in Genetics and Development,journal
International Journal of Epidemiology,journal
Political Communication,journal
Journal of Travel Research,journal
npj Quantum Information,journal
Stroke,journal
Sociology of Education,journal
Oncogene,journal
"Journal of Neurology, Neurosurgery and Psychiatry",journal
Academy of Management Perspectives,journal
Research Synthesis Methods,journal
Psychometrika,journal
"Philosophical Review, The",journal
Bulletin of the American Meteorological Society,journal
British Journal of Political Science,journal
Cell Chemical Biology,journal
Allergy: European Journal of Allergy and Clinical Immunology,journal
European Journal of Cancer,journal
Protein Science,journal
Circulation: Heart Failure,journal
Movement Disorders,journal
Advances in Parasitology,journal
Essays in Biochemistry,journal
Cell Death and Differentiation,journal
Journal of Teacher Education,journal
Tourism Management,journal
Acta Materialia,journal
Journal of Climate,journal
IEEE Transactions on Power Systems,journal
Alimentary Pharmacology and Therapeutics,journal
Biometrika,journal
Information and Organization,journal
Gut Microbes,journal
Bone Research,journal
Journal of Allergy and Clinical Immunology,journal
Production and Operations Management,journal
JAMA network open,journal
Educational Research Review,journal
Journal of Crohn's and Colitis,journal
Social Psychological and Personality Science,journal
Annual Review of Statistics and Its Application,journal
European Journal of Political Research,journal
NeuroImage,journal
Epidemiologic Reviews,journal
Geoscientific Model Development,journal
Diabetes,journal
IEEE Wireless Communications,journal
Journal of the American Academy of Child and Adolescent Psychiatry,journal
Biomaterials,journal
Science Education,journal
Comprehensive Physiology,journal
Stem Cell Reports,journal
Briefings in Bioinformatics,journal
Ultrasound in Obstetrics and Gynecology,journal
Probability Theory and Related Fields,journal
Trends in Biotechnology,journal
Journal of Molecular Biology,journal
Transportation Research Part C: Emerging Technologies,journal
Annals of Probability,journal
Journal of Retailing,journal
npj Climate and Atmospheric Science,journal
Implementation Science,journal
National Health Statistics Reports,journal
Global Ecology and Biogeography,journal
Journal of Environmental Economics and Management,journal
British Journal of Mathematical and Statistical Psychology,journal
Conservation Letters,journal
"Transportation Research, Series B: Methodological",journal
Economic Geography,journal
Internet and Higher Education,journal
Metabolic Engineering,journal
Physiology,journal
Strategic Organization,journal
Journal of Strategic Information Systems,journal
Automatica,journal
Acta neuropathologica communications,journal
Communications on Pure and Applied Mathematics,journal
Radiology,journal
Acta Numerica,journal
"Genomics, Proteomics and Bioinformatics",journal
Analysis and PDE,journal
Journal of Peasant Studies,journal
IEEE Transactions on Cybernetics,journal
JACC: Cardiovascular Interventions,journal
European urology oncology,journal
Aging Cell,journal
Child Development,journal
Nuclear Data Sheets,journal
Water Research,journal
Journal of Advertising,journal
Nature Astronomy,journal
Thorax,journal
NPG Asia Materials,journal
Open Biology,journal
Journal of Management Information Systems,journal
Exceptional Children,journal
Seminars in Cell and Developmental Biology,journal
Journal of Research in Science Teaching,journal
Journal of Educational and Behavioral Statistics,journal
Current Opinion in Chemical Biology,journal
International Journal of Press/Politics,journal
Plant Journal,journal
Cancer,journal
OncoImmunology,journal
Transport Reviews,journal
Behavior Research Methods,journal
RNA,journal
Applied Energy,journal
Memoirs of the American Mathematical Society,journal
Journal of Advances in Modeling Earth Systems,journal
Environmental Innovation and Societal Transitions,journal
Computers and Education,journal
American Journal of Sports Medicine,journal
npj Parkinson's Disease,journal
Annual Review of Analytical Chemistry,journal
"Arteriosclerosis, Thrombosis, and Vascular Biology",journal
Critical Care Medicine,journal
Child Development Perspectives,journal
Progress in Nuclear Magnetic Resonance Spectroscopy,journal
Journal of Clinical Epidemiology,journal
Nanoscale Horizons,journal
Communication Monographs,journal
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,journal
Hypertension,journal
IEEE Journal on Selected Areas in Communications,journal
Business and Society,journal
Ecography,journal
Protein and Cell,journal
Journal of Pathology,journal
ISPRS Journal of Photogrammetry and Remote Sensing,journal
Molecular Ecology Resources,journal
GLIA,journal
Journal of the American Society of Echocardiography,journal
Family Business Review,journal
GigaScience,journal
Neuropsychology Review,journal
Archive for Rational Mechanics and Analysis,journal
mSystems,journal
Cellular and Molecular Life Sciences,journal
ILR Review,journal
American Heart Journal,journal
Advances in Nonlinear Analysis,journal
Current Opinion in Solid State and Materials Science,journal
Human Relations,journal
Neurology,journal
Soil Biology and Biochemistry,journal
American Journal of Gastroenterology,journal
Structure,journal
Political Behavior,journal
Journal of Policy Analysis and Management,journal
Perspectives on Politics,journal
Cement and Concrete Composites,journal
Econometric Theory,journal
Advanced Optical Materials,journal
American Journal of Transplantation,journal
Medical Image Analysis,journal
IEEE Transactions on Fuzzy Systems,journal
Clinical Microbiology and Infection,journal
Materials Research Letters,journal
IEEE Transactions on Neural Networks and Learning Systems,journal
Language Learning,journal
Annual Review of Animal Biosciences,journal
Journal of Applied Econometrics,journal
Materials Today Physics,journal
Educational Researcher,journal
Materials Today Nano,journal
Medicinal Research Reviews,journal
Gondwana Research,journal
Quantum,journal
Psychological Medicine,journal
Kidney International Supplements,journal
npj Quantum Materials,journal
Environmental Science & Technology,journal
Acta Psychiatrica Scandinavica,journal
Molecular Metabolism,journal
Obesity Reviews,journal
Current Opinion in Biotechnology,journal
European Journal of Personality,journal
British Journal of Cancer,journal
IUCrJ,journal
Protection and Control of Modern Power Systems,journal
Earth and Planetary Science Letters,journal
Gastric Cancer,journal
IEEE Communications Magazine,journal
Frontiers in Neuroendocrinology,journal
Global Strategy Journal,journal
Communications Biology,journal
Human Molecular Genetics,journal
Information Communication and Society,journal
"Journal of Cachexia, Sarcopenia and Muscle",journal
Alzheimer's Research and Therapy,journal
Circulation. Genomic and precision medicine,journal
Comprehensive Reviews in Food Science and Food Safety,journal
Developmental Science,journal
Genetics,journal
Haematologica,journal
Journal of Peace Research,journal
SIAM Journal on Numerical Analysis,journal
Wiley Interdisciplinary Reviews: Developmental Biology,journal
Information Fusion,journal
Geotechnique,journal
Cardiovascular Research,journal
Computer-Aided Civil and Infrastructure Engineering,journal
Biotechnology Advances,journal
Compositio Mathematica,journal
IEEE Transactions on Sustainable Energy,journal
Journal of Carcinogenesis,journal
International Journal of Information Management,journal
Contemporary Accounting Research,journal
Heart Rhythm,journal
Eurosurveillance,journal
Journal of Arthroplasty,journal
Health systems in transition,journal
International Journal of Project Management,journal
BioScience,journal
Molecular and Cellular Proteomics,journal
Quarterly Journal of Political Science,journal
Journal of the American Taxation Association,journal
Clinical journal of the American Society of Nephrology : CJASN,journal
Philosophical Transactions of the Royal Society B: Biological Sciences,journal
Journal of Experimental and Clinical Cancer Research,journal
Fish and Fisheries,journal
npj Breast Cancer,journal
Energy Conversion and Management,journal
Clinical Psychological Science,journal
Journal of Immunology,journal
World Bank Research Observer,journal
ACS Photonics,journal
Journal of Integrative Plant Biology,journal
International Journal of Engineering Science,journal
Scientific Studies of Reading,journal
MIS Quarterly Executive,journal
European Review of Social Psychology,journal
Journal of the International AIDS Society,journal
Public Administration Review,journal
Molecular Cancer Therapeutics,journal
Nanophotonics,journal
Annual Review of Chemical and Biomolecular Engineering,journal
Tobacco Control,journal
Additive Manufacturing,journal
American Journal of Ophthalmology,journal
Neuropsychopharmacology,journal
Experimental and Molecular Medicine,journal
Journal of Business and Psychology,journal
Natural Product Reports,journal
2D Materials,journal
"Lancet Child and Adolescent Health, The",journal
Cerebral Cortex,journal
Journal for Research in Mathematics Education,journal
Annual review of food science and technology,journal
Circulation: Cardiovascular Quality and Outcomes,journal
npj Vaccines,journal
International Security,journal
Journal of Infectious Diseases,journal
Theranostics,journal
Epilepsia,journal
Bayesian Analysis,journal
Blood advances,journal
Brain Stimulation,journal
Circulation: Arrhythmia and Electrophysiology,journal
Nature reviews. Rheumatology,journal
Critical Care,journal
Wiley Interdisciplinary Reviews: Climate Change,journal
American Journal of Kidney Diseases,journal
Traffic,journal
Journal of Health Economics,journal
Organizational Behavior and Human Decision Processes,journal
Trends in Food Science and Technology,journal
Journal of Conflict Resolution,journal
Blood Reviews,journal
Obstetrics and Gynecology,journal
Developmental Cognitive Neuroscience,journal
International Economic Review,journal
Journal of Public Relations Research,journal
Journal of Service Management,journal
Environment and Planning D: Society and Space,journal
Geochemical Perspectives Letters,journal
International Journal of Behavioral Nutrition and Physical Activity,journal
Journal of NeuroInterventional Surgery,journal
Translational Psychiatry,journal
Chest,journal
Frontiers in Immunology,journal
Journal of Product Innovation Management,journal
"Plant, Cell and Environment",journal
Journal of Petrology,journal
Progress in Surface Science,journal
Earth's Future,journal
npj Genomic Medicine,journal
Journal of Metamorphic Geology,journal
American Journal of Science,journal
Molecular Autism,journal
Stata Journal,journal
Information Systems Journal,journal
Clinical Gastroenterology and Hepatology,journal
Depression and Anxiety,journal
Journal of Bone and Joint Surgery - Series A,journal
Advanced Structural and Chemical Imaging,journal
PLoS Computational Biology,journal
American Journal of Surgical Pathology,journal
Journal of Internal Medicine,journal
Atmospheric Chemistry and Physics,journal
Autoimmunity Reviews,journal
Circulation: Cardiovascular Interventions,journal
International Journal of Plasticity,journal
Molecular Ecology,journal
"Accounting, Organizations and Society",journal
Journal of Virology,journal
Epigenetics and Chromatin,journal
Journal of Experimental Botany,journal
Progress in Quantum Electronics,journal
Journal of Neuroinflammation,journal
Quarterly Reviews of Biophysics,journal
Journal of Business Logistics,journal
Pediatrics,journal
Astronomical Journal,journal
Geology,journal
American Journal of Clinical Nutrition,journal
Journal of Vocational Behavior,journal
Journal of Interactive Marketing,journal
EBioMedicine,journal
Modern Pathology,journal
Current Opinion in Virology,journal
British Journal of Anaesthesia,journal
Bone and Joint Journal,journal
Evidence-Based Medicine,journal
Circulation: Cardiovascular Imaging,journal
Personality and Social Psychology Bulletin,journal
Environmental International,journal
Journal of Consulting and Clinical Psychology,journal
Mathematical Models and Methods in Applied Sciences,journal
Journal of Democracy,journal
European Heart Journal Cardiovascular Imaging,journal
Cryosphere,journal
Nous,journal
IEEE Journal of Solid-State Circuits,journal
Life Science Alliance,journal
R Journal,journal
European Respiratory Review,journal
Scientific data,journal
Translational Neurodegeneration,journal
British Journal of Psychiatry,journal
Journal of Structural Biology,journal
Journal of Physical Chemistry Letters,journal
Biochemical Society Transactions,journal
Journal fur die Reine und Angewandte Mathematik,journal
Journal of Cardiovascular Magnetic Resonance,journal
"Brain, Behavior, and Immunity",journal
Journal of European Public Policy,journal
Cancer and Metastasis Reviews,journal
Cognition and Instruction,journal
Human Resource Management Review,journal
JACC: Basic to Translational Science,journal
Biosensors and Bioelectronics,journal
IEEE Network,journal
Solar RRL,journal
Advances in Physics: X,journal
Emerging Infectious Diseases,journal
Neuropathology and Applied Neurobiology,journal
Nano Research,journal
ACS applied materials & interfaces,journal
Current Protocols in Bioinformatics,journal
"Forum of Mathematics, Pi",journal
BMJ Quality and Safety,journal
Computer Methods in Applied Mechanics and Engineering,journal
Chemical Engineering Journal,journal
Cardiovascular Diabetology,journal
Journal des Mathematiques Pures et Appliquees,journal
Pain,journal
Journal of Experimental Psychology: General,journal
Neoplasia,journal
Journal of Economic Geography,journal
Global Biogeochemical Cycles,journal
Psychonomic Bulletin and Review,journal
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,journal
Behaviour Research and Therapy,journal
AIDS Patient Care and STDs,journal
Journal of Applied Ecology,journal
Microbiology spectrum,journal
Cellular and Molecular Immunology,journal
Energy Economics,journal
Omega,journal
"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",journal
Environmental Science and Technology Letters,journal
Oncogenesis,journal
IEEE Transactions on Industrial Informatics,journal
Neurotherapeutics,journal
Journal of the American Heart Association,journal
Mind,journal
npj Regenerative Medicine,journal
Alzheimer's and Dementia: Translational Research and Clinical Interventions,journal
Bioresource Technology,journal
Journal of Educational Psychology,journal
Cell Death and Disease,journal
EcoSal Plus,journal
Japanese Journal of Mathematics,journal
Neurobiology of Stress,journal
Contemporary Educational Psychology,journal
Microbial genomics,journal
Emerging Microbes and Infections,journal
International Journal of Cancer,journal
Space Science Reviews,journal
Food Hydrocolloids,journal
Cancer Letters,journal
RNA Biology,journal
American Journal of Respiratory Cell and Molecular Biology,journal
"Cambridge Journal of Regions, Economy and Society",journal
"Resources, Conservation and Recycling",journal
Tectonics,journal
Organizational Psychology Review,journal
American Society of Clinical Oncology educational book / ASCO. American Society of Clinical Oncology. Meeting,journal
Geotextiles and Geomembranes,journal
Molecular Biology of the Cell,journal
Bulletin of the World Health Organization,journal
American Journal of Hematology,journal
International Journal of Urban and Regional Research,journal
Political Science Research and Methods,journal
Frontiers in Cell and Developmental Biology,journal
Journal of Ecology,journal
Journal of Topology,journal
European Stroke Journal,journal
Human Reproduction,journal
"Diabetes, Obesity and Metabolism",journal
Journal of Memory and Language,journal
Engineering Geology,journal
Human Resource Management Journal,journal
Journal of Medical Genetics,journal
Journal of Computational and Graphical Statistics,journal
Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire,journal
National Science Review,journal
British Journal of Pharmacology,journal
Addiction,journal
World Politics,journal
Journal of Molecular Diagnostics,journal
Language Testing,journal
Political Psychology,journal
Annual Review of Resource Economics,journal
Education Finance and Policy,journal
IEEE Vehicular Technology Magazine,journal
Wiley Interdisciplinary Reviews: Water,journal
ChemSusChem,journal
ESMO Open,journal
British Journal of Management,journal
