Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kuhn, T.S.","",[No title available],1970,"The Structure of Scientific Revolutions",,"",,,,,37186,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003945869&partnerID=40&md5=d014d4717508016577cd3299791a8938",Article,Final,"",Scopus,2-s2.0-0003945869
"Lincoln, Y.S., Guba, E.G."," ","Naturalistic inquiry",1985,"Naturalistic Inquiry",,"",,,,,31296,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004253047&partnerID=40&md5=5895a279c1a1b197bcb81f5ee4a34388",Article,Final,"",Scopus,2-s2.0-0004253047
"Foucault, M.","",[No title available],1977,"Discipline and Punish: The Birth of the Prison",,"",,,,,30400,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003823523&partnerID=40&md5=d426ce21065bec57db03c44c59950869",Article,Final,"",Scopus,2-s2.0-0003823523
"Lave, J., Wenger, E."," ",[No title available],1991,"Situated Learning: Legitimate Peripheral Participation",,"",,,,,28455,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003398064&partnerID=40&md5=0e1f18b192070bda9be43936c50a89f1",Article,Final,"",Scopus,2-s2.0-0003398064
"Schön, D.A.","","The reflective practitioner: How professionals think in action",1983,"The Reflective Practitioner: How Professionals Think in Action",,"",,,,,27777,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003826852&partnerID=40&md5=1e2d801cca4777c72b5997ffddd42556",Article,Final,"",Scopus,2-s2.0-0003826852
"Field, A.","",[No title available],2005,"Discovering Statistics Using SPSS",,"",,,,,26760,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-30444440069&partnerID=40&md5=57c7cb5b960629e767d4a899e32fd1cf",Article,Final,"",Scopus,2-s2.0-30444440069
"Barney, J.","7004413102","Firm Resources and Sustained Competitive Advantage",1991,"Journal of Management",17,"1",,99,120,,26651,10.1177/014920639101700108,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84896930624&partnerID=40&md5=228a75eeb07a75f3acdafb900965dbb6",Article,Final,"",Scopus,2-s2.0-84896930624
"Kahneman, D., Tversky, A."," ","Prospect theory: An analysis of decision under risk",1979,"Econometrica",47,"2",,263,291,,26605,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0000125532&partnerID=40&md5=308ae4f2315e162d1a15685fc8a627ea",Article,Final,"",Scopus,2-s2.0-0000125532
"Jensen, M.C., Meckling, W.H.","57208461699; 24458681000","Theory of the firm: Managerial behavior, agency costs and ownership structure",1976,"Journal of Financial Economics",3,"4",,305,360,,26516,10.1016/0304-405X(76)90026-X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-44649197264&partnerID=40&md5=6a347433dd6ff982d8a541b7ef26b361",Article,Final,"",Scopus,2-s2.0-44649197264
"Davis, F.D.","55817507700","Perceived usefulness, perceived ease of use, and user acceptance of information technology",1989,"MIS Quarterly: Management Information Systems",13,"3",,319,339,,26143,10.2307/249008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-55249087535&partnerID=40&md5=530087d3af76585c366fbd165a04e61a",Article,Final,"",Scopus,2-s2.0-55249087535
"Fishbein, M., Ajzen, I."," ",[No title available],1975,"Belief, Attitude, Intention and Behavior: An Introduction to Theory and Research",,"",,,,,25752,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003551671&partnerID=40&md5=59f077d6cd044a65f41809ae21b6f1a1",Article,Final,"",Scopus,2-s2.0-0003551671
"Cohen, J.","7410009261","A Coefficient of Agreement for Nominal Scales",1960,"Educational and Psychological Measurement",20,"1",,37,46,,24349,10.1177/001316446002000104,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84973587732&partnerID=40&md5=fc5234631ada5c4c90e0d485f08c834e",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84973587732
"Anderson, J.C., Gerbing, D.W.","55574240163; 16457709000","Structural Equation Modeling in Practice: A Review and Recommended Two-Step Approach",1988,"Psychological Bulletin",103,"3",,411,423,,23740,10.1037/0033-2909.103.3.411,"https://www.scopus.com/inward/record.url?eid=2-s2.0-41649112685&partnerID=40&md5=81f95e34a5d63ec1a80a62d177402e97",Article,Final,"",Scopus,2-s2.0-41649112685
"Shannon, C.E., Weaver, W."," ",[No title available],1949,"The Mathematical Theory of Communication",,"",,,,,23711,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003685012&partnerID=40&md5=553442f22cdb28eb1ecf5814e442f7f4",Article,Final,"",Scopus,2-s2.0-0003685012
"Eisenhardt, K.M.","","Building theories from case study research",1989,"Academy of Management Review",14,"4",,532,550,,23437,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0001073758&partnerID=40&md5=986484f317af20f701447a90a848d430",Article,Final,"",Scopus,2-s2.0-0001073758
"Watson, D., Clark, L.A., Tellegen, A.","7402905813; 7402667481; 7004068674","Development and Validation of Brief Measures of Positive and Negative Affect: The PANAS Scales",1988,"Journal of Personality and Social Psychology",54,"6",,1063,1070,,23379,10.1037/0022-3514.54.6.1063,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0024023344&partnerID=40&md5=34f8054da5de7e131b6327f0dc407deb",Article,Final,"",Scopus,2-s2.0-0024023344
"North, D.C.","",[No title available],1990,"Institutions, Institutional Change and Economic Performance",,"",,,,,22464,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003540038&partnerID=40&md5=e6026f366cbb4af63fb3ae0a7f44023d",Article,Final,"",Scopus,2-s2.0-0003540038
"Bourdieu, P.","",[No title available],1977,"Outline of a Theory of Practice",,"",,,,,22040,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003984746&partnerID=40&md5=0b67a58033002ee71fd8b4ada9f10afa",Article,Final,"",Scopus,2-s2.0-0003984746
"Charmaz, K.","",[No title available],2006,"Constructing Grounded Theory: A Practical Guide Through Qualitative Analysis",,"",,,,,21965,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33745634212&partnerID=40&md5=5deee5f818c6219a23d0b52dd1b13cfe",Article,Final,"",Scopus,2-s2.0-33745634212
"Hofstede, G.","","Culture's consequences: International differences in work-related values",1980,"Culture's Consequences: International Differences in Work-related Values",,"",,,,,21607,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003755854&partnerID=40&md5=c0f32412b62a40c9620673599ad4eaa3",Article,Final,"",Scopus,2-s2.0-0003755854
"Wittgenstein, L.","",[No title available],1953,"Philosophical Investigations",,"",,,,,20608,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004251932&partnerID=40&md5=0dc5e1f43da9997668be21b5a6302149",Article,Final,"",Scopus,2-s2.0-0004251932
"Wenger, E.","","Communities of practice: Learning, meaning and identity",1998,"Communities of Practice: Learning, Meaning, and Identity",,"",,,,,20580,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003893813&partnerID=40&md5=6ea76973f3dc8c1c2f535a791fae916a",Article,Final,"",Scopus,2-s2.0-0003893813
"Berger, P.L., Luckmann, T."," ",[No title available],1966,"The Social Construction of Reality",,"",,,,,20124,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003458607&partnerID=40&md5=2a7690c87c6c4760e3f975299b11c48e",Article,Final,"",Scopus,2-s2.0-0003458607
"DiMaggio, P.J., Powell, W.W."," ","The iron cage revisited: Institutional isomorphism and collective rationality in organizational fields",1983,"American Sociological Review",48,"2",,147,160,,19587,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0000953669&partnerID=40&md5=878e67672124976442cc5f3f0c635c58",Article,Final,"",Scopus,2-s2.0-0000953669
"Nonaka, I., Takeuchi, H."," ",[No title available],1995,"The Knowledge-Creating Company",,"",,,,,18766,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003684137&partnerID=40&md5=1e14301c489aede7d40be2d46c85996c",Article,Final,"",Scopus,2-s2.0-0003684137
"Preacher, K.J., Hayes, A.F.","6602519801; 7201978687","Asymptotic and resampling strategies for assessing and comparing indirect effects in multiple mediator models",2008,"Behavior Research Methods",40,"3",,879,891,,18219,10.3758/BRM.40.3.879,"https://www.scopus.com/inward/record.url?eid=2-s2.0-44949168308&partnerID=40&md5=ad5eda3df23487e36d11f0b745031858",Conference Paper,Final,"All Open Access, Bronze",Scopus,2-s2.0-44949168308
"Williamson, O.E.","",[No title available],1985,"The Economic Institutions of Capitalism",,"",,,,,17944,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003531998&partnerID=40&md5=a2b7aed7e5cb21c2c1e5c1a3a5965672",Article,Final,"",Scopus,2-s2.0-0003531998
"Ryan, R.M., Deci, E.L.","57216285849; 57196482000","Self-determination theory and the facilitation of intrinsic motivation, social development, and well-being",2000,"American Psychologist",55,"1",,68,78,,17753,10.1037/0003-066X.55.1.68,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85043751872&partnerID=40&md5=46cdc513d2b0909ee5f1a8684ac009e8",Article,Final,"",Scopus,2-s2.0-85043751872
"Tversky, A., Kahneman, D.","7003856258; 7004331533","Judgment under uncertainty: Heuristics and biases",1974,"Science",185,"4157",,1124,1131,,17350,10.1126/science.185.4157.1124,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016264378&partnerID=40&md5=71c6e96c922a8368a4bc4a3a62d16b0b",Article,Final,"",Scopus,2-s2.0-0016264378
"Venkatesh, V., Morris, M.G., Davis, G.B., Davis, F.D.","35614985000; 57212421558; 7404344360; 55817507700","User acceptance of information technology: Toward a unified view",2003,"MIS Quarterly: Management Information Systems",27,"3",,425,478,,17123,10.2307/30036540,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1542382496&partnerID=40&md5=c635d7fd45a06a546dade8aea290c639",Article,Final,"",Scopus,2-s2.0-1542382496
"Festinger, L.","",[No title available],1957,"A Theory of Cognitive Dissonance",,"",,,,,16887,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004213688&partnerID=40&md5=61df0ea59f87f398356f5b91a8dc271c",Article,Final,"",Scopus,2-s2.0-0004213688
"Giddens, A.","",[No title available],1984,"The Constitution of Society: Outline of the Theory of Structuration",,"",,,,,16112,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003768337&partnerID=40&md5=06cdd014ac9207c5ecf460b7fa34145c",Article,Final,"",Scopus,2-s2.0-0003768337
"Senge, P.M.","",[No title available],1990,"The Fifth Discipline: The Art and Practice of the Learning Organization",,"",,,,,15974,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003431346&partnerID=40&md5=3ff7d3b8f2f5448281467df6bf1446f7",Article,Final,"",Scopus,2-s2.0-0003431346
"Teece, D.J., Pisano, G., Shuen, A.","6701775408; 7006165945; 36966457000","Dynamic capabilities and strategic management",1997,"Strategic Management Journal",18,"7",,509,533,,15520,10.1002/(SICI)1097-0266(199708)18:7<509::AID-SMJ882>3.0.CO;2-Z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0342775775&partnerID=40&md5=2a3a2ae196e4ce83bf474d2212a71c3e",Article,Final,"All Open Access, Green",Scopus,2-s2.0-0342775775
"James, W.","",[No title available],1890,"The Principles of Psychology",,"",,,,,15147,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003891643&partnerID=40&md5=28783ed3acce2db2fbb93dd4d4a660e4",Article,Final,"",Scopus,2-s2.0-0003891643
"Hofstede, G.","","Culture's consequences: Comparing values, behaviors, institutions and organizations across nations",2001,"Culture's Consequences: Comparing Values, Behaviors, Institutions, and Organizations Across Nations",,"",,,,,14958,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003443244&partnerID=40&md5=fa76decc4967bd62db7dabbe520fb511",Article,Final,"",Scopus,2-s2.0-0003443244
"Gamma, E., Helm, R., Johnson, R., Vlissides, J.","   ",[No title available],1995,"Design Patterns: Elements of Reusable Object-Oriented Software",,"",,,,,14394,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003880013&partnerID=40&md5=a6dd1fec98664d3b577c87cb9905d476",Article,Final,"",Scopus,2-s2.0-0003880013
"Denzin, N.K., Lincoln, Y.S."," ",[No title available],1994,"Handbook of Qualitative Research",,"",,,,,14100,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003874262&partnerID=40&md5=e6178c5adae512c256421f0d4508f7b8",Article,Final,"",Scopus,2-s2.0-0003874262
"Latour, B.","",[No title available],2005,"Reassembling the Social: An Introduction to Actor-network-theory",,"",,,,,13775,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-27644442647&partnerID=40&md5=15b6d001d905aa21b98df27f56a3c950",Article,Final,"",Scopus,2-s2.0-27644442647
"Pfeffer, J., Salancik, G.R."," ",[No title available],1978,"The External Control of Organizations: A Resource Dependence Perspective",,"",,,,,13757,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003447274&partnerID=40&md5=2883df96d56be8871060e42a2db5e97f",Article,Final,"",Scopus,2-s2.0-0003447274
"Meyer, J.W., Rowan, B."," ","Institutionalized organizations: Formal structure as myth and ceremony",1977,"American Journal of Sociology",83,"2",,340,363,,12953,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0000057597&partnerID=40&md5=a96721fb21ac8760c870ec67dbead7bb",Article,Final,"",Scopus,2-s2.0-0000057597
"Foucault, M.","",[No title available],1980,"Power/Knowledge: Selected Interviews and Other Writings 1972-1977",,"",,,,,12384,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003455324&partnerID=40&md5=575a30b04fd7b7ba3285390d2734302b",Article,Final,"",Scopus,2-s2.0-0003455324
"Schein, E.H.","",[No title available],1985,"Organizational Culture and Leadership",,"",,,,,12328,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003529918&partnerID=40&md5=85aa2aadfb732f17dffb2a8f023d6c6b",Article,Final,"",Scopus,2-s2.0-0003529918
"Simon, H.A.","",[No title available],1969,"The Sciences of the Artificial",,"",,,,,11685,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003960921&partnerID=40&md5=3b4186542295c4aead560e4ef395c81a",Article,Final,"",Scopus,2-s2.0-0003960921
"March, J.G.","","Exploration and exploitation in organizational learning",1991,"Organization Science",2,"1",,71,87,,11415,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0001812752&partnerID=40&md5=ec25d0baf8d344730c91507a5869414d",Article,Final,"",Scopus,2-s2.0-0001812752
"Cyert, R.M., March, J.G."," ","A behavioral theory of the firm",1963,"A Behavioral Theory of the Firm",,"",,,,,11216,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004192228&partnerID=40&md5=6a4546fe86ad1d01aca5a231962cd2f7",Article,Final,"",Scopus,2-s2.0-0004192228
"Bakhtin, M.M.","",[No title available],1981,"The Dialogic Imagination: Four Essays",,"",,,,,11197,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003409130&partnerID=40&md5=ba7129b0a4fa49179e6320ef776af4dc",Article,Final,"",Scopus,2-s2.0-0003409130
"Chin, W.W.","","The partial least squares approach to structural equation modeling",1998,"Modern Methods for Business Research",,"",,295,336,,10797,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003095695&partnerID=40&md5=04efa989455e56bdd689b9ac2f841574",Article,Final,"",Scopus,2-s2.0-0003095695
"Polanyi, M.","","The tacit dimension",1966,"The Tacit Dimension",,"",,,,,10633,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003806577&partnerID=40&md5=56601ba59e1e8577b05b73dfcd77b8f7",Article,Final,"",Scopus,2-s2.0-0003806577
"Scott, W.R.","",[No title available],1995,"Institutions and Organizations",,"",,,,,10518,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004168045&partnerID=40&md5=aa8439e3fd82673be590a95cdbcc7a1b",Article,Final,"",Scopus,2-s2.0-0004168045
"Podsakoff, P.M., Organ, D.W.","6603818084; 7004704776","Self-Reports in Organizational Research: Problems and Prospects",1986,"Journal of Management",12,"4",,531,544,,10404,10.1177/014920638601200408,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84970235764&partnerID=40&md5=380d05df19a106bf69d97302156e1ecc",Article,Final,"",Scopus,2-s2.0-84970235764
"Garfinkel, H.","",[No title available],1967,"Studies in Ethnomethodology",,"",,,,,10263,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004221292&partnerID=40&md5=e3af41b9eb30c60ffd168bd118af6cdc",Article,Final,"",Scopus,2-s2.0-0004221292
"Mayer, R.C., Davis, J.H., Schoorman, F.D.","  ","An integrative model of organizational trust",1995,"Academy of Management Review",20,"3",,709,734,,10258,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0042495505&partnerID=40&md5=f12003e0e54ae02cb339405bc2ba5d14",Article,Final,"",Scopus,2-s2.0-0042495505
"Thompson, J.D.","",[No title available],1967,"Organizations in Action: Social Science Bases of Administrative Theory",,"",,,,,10231,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003806911&partnerID=40&md5=1b431f7f443818522d89b48cc63e4d60",Article,Final,"",Scopus,2-s2.0-0003806911
"Burt, R.S.","",[No title available],1992,"Structural Holes: The Social Structure of Competition",,"",,,,,10118,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003468139&partnerID=40&md5=70a95e969485f67e4c21a8ec3394115f",Article,Final,"",Scopus,2-s2.0-0003468139
"Gadamer, H.-G.","",[No title available],1975,"Truth and Method",,"",,,,,9991,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004225610&partnerID=40&md5=73c9890d487117d9a5ebbbebc59443cd",Article,Final,"",Scopus,2-s2.0-0004225610
"Latour, B.","",[No title available],1993,"We Have Never Been Modern",,"",,,,,9912,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003624305&partnerID=40&md5=1f1074358da2b2a877eb0b245e6afe28",Article,Final,"",Scopus,2-s2.0-0003624305
"Latour, B.","",[No title available],1987,"Science in Action: How to Follow Scientists and Engineers Through Society",,"",,,,,9899,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84936823853&partnerID=40&md5=20acfddebdd30f4ef51cf961e876d0e1",Article,Final,"",Scopus,2-s2.0-84936823853
"Weick, K.E.","",[No title available],1995,"Sensemaking in Organizations",,"",,,,,9890,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003767234&partnerID=40&md5=ff70c9ae7312f17aa29d5e94e8cd90e7",Article,Final,"",Scopus,2-s2.0-0003767234
"Venkatesh, V., Davis, F.D.","35614985000; 55817507700","Theoretical extension of the Technology Acceptance Model: Four longitudinal field studies",2000,"Management Science",46,"2",,186,204,,9875,10.1287/mnsc.46.2.186.11926,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0033872521&partnerID=40&md5=1aae369d3e888e10ac61ad5ff8977fd2",Article,Final,"",Scopus,2-s2.0-0033872521
"Cook, T.D., Campbell, D.T."," ",[No title available],1979,"Quasi-experimentation: Design and Analysis Issues for Field Settings",,"",,,,,9814,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003462484&partnerID=40&md5=d36a9e1336ef913c201efbc864db71ec",Article,Final,"",Scopus,2-s2.0-0003462484
"March, J.G., Simon, H.A."," ",[No title available],1993,"Organizations",,"",,,,,9665,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84967417109&partnerID=40&md5=b55f702a945d24919b287c969cef4114",Article,Final,"",Scopus,2-s2.0-84967417109
"Campbell, D.T., Stanley, J.C."," ","Experimental and quasi-experimental designs for research",1963,"Experimental and Quasi-experimental Designs for Research",,"",,,,,9596,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003538762&partnerID=40&md5=dbf35985d9891cbb856ecb155f7b9747",Article,Final,"",Scopus,2-s2.0-0003538762
"Ajzen, I.","","From intentions to actions: A theory of planned behavior",1985,"Action Control: From Cognition to Behavior",,"",,11,39,,9584,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0002305454&partnerID=40&md5=a9fcd6f855280f09c6fb806c4624eee7",Article,Final,"",Scopus,2-s2.0-0002305454
"Stake, R.E.","","The art of case study research",1995,"The Art of Case Study Research",,"",,,,,9499,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003673549&partnerID=40&md5=ffeebc91da443b13a1af3b76fdc47e50",Article,Final,"",Scopus,2-s2.0-0003673549
"Merton, R.K.","",[No title available],1957,"Social Theory and Social Structure",,"",,,,,9392,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003782731&partnerID=40&md5=53b9c36d14e7da2da7ea67d66247f232",Article,Final,"",Scopus,2-s2.0-0003782731
"Prahalad, C.K., Hamel, G."," ","The core competence of the corporation",1990,"Harvard Business Review",68,"3",,79,91,,9337,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003106484&partnerID=40&md5=aff85ec498aec6e943c3bd9b7721694a",Article,Final,"",Scopus,2-s2.0-0003106484
"Kahneman, D., Slovic, P., Tversky, A.","  ",[No title available],1982,"Judgment under Uncertainty: Heuristics and Biases",,"",,,,,8515,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003768818&partnerID=40&md5=64610823b716e3050b3d5483f4ce39da",Article,Final,"",Scopus,2-s2.0-0003768818
"Laclau, E., Mouffe, C."," ",[No title available],1985,"Hegemony and Socialist Strategy",,"",,,,,8352,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003697964&partnerID=40&md5=278674940dfbccbf7e4c72bbd8539ec9",Article,Final,"",Scopus,2-s2.0-0003697964
"Womack, J.P., Jones, D.T., Roos, D.","  ",[No title available],1990,"The Machine That Changed the World",,"",,,,,8257,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003463029&partnerID=40&md5=2a35752c3bf9ca96f132239fa3103ad6",Article,Final,"",Scopus,2-s2.0-0003463029
"Eisenhardt, K.M., Graebner, M.E.","6701924601; 8212284600","Theory building from cases: Opportunities and challenges",2007,"Academy of Management Journal",50,"1",,25,32,,7946,10.5465/AMJ.2007.24160888,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34047207566&partnerID=40&md5=fd17995c94e2bbc56ace8f6ae41c85c8",Article,Final,"",Scopus,2-s2.0-34047207566
"Weick, K.E.","",[No title available],1979,"The Social Psychology of Organizing",,"",,,,,7907,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004218066&partnerID=40&md5=5f9c9cf72316551642c9e0556cd5b92b",Article,Final,"",Scopus,2-s2.0-0004218066
"Blumer, H.","",[No title available],1969,"Symbolic Interactionism",,"",,,,,7863,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003767640&partnerID=40&md5=cbd1a870a277177626c6f234a032587a",Article,Final,"",Scopus,2-s2.0-0003767640
"Eisenhardt, K.M., Martin, J.A.","6701924601; 55522815600","Dynamic capabilities: What are they?",2000,"Strategic Management Journal",21,"10-11",,1105,1121,,7675,10.1002/1097-0266(200010/11)21:10/11<1105::AID-SMJ133>3.0.CO;2-E,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0000877903&partnerID=40&md5=f1f61293f1803a7a79d2a629be9a31fa",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0000877903
"Boyatzis, R.E.","","Transforming qualitative information: Thematic analysis and code development",1998,"Transforming Qualitative Information: Thematic Analysis and Code Development",,"",,,,,7619,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003482307&partnerID=40&md5=e71c1ca75a43f536b0287ba72c419729",Article,Final,"",Scopus,2-s2.0-0003482307
