Authors,Title,Year,Source title,Link,Document Type,Source
"DiMaggio P.J., Powell W.W.","The iron cage revisited: Institutional isomorphism and collective rationality in organizational fields",1983,"American Sociological Review",,,Scopus
"Ajzen I., Fishbein M.",[No title available],1980,"Understanding Attitudes and Predicting Social Behavior",,,Scopus
"Bandura A.",[No title available],1977,"Social Learning Theory",,,Scopus
"Hofstede G.","Cultures and organizations: Software of the mind",1991,"Cultures and Organizations: Software of the Mind",,,Scopus
"Gibson J.J.","The ecological approach to visual perception",1979,"The Ecological Approach to Visual Perception",,,Scopus
"Venkatesh V., Morris M.G., Davis G.B., Davis F.D.","User acceptance of information technology: Toward a unified view",2003,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542382496&doi=10.2307%2f30036540&partnerID=40&md5=0145eeee9ddb1678e81b29817475e16c",Article,Scopus
"Festinger L.",[No title available],1957,"A Theory of Cognitive Dissonance",,,Scopus
"Giddens A.",[No title available],1984,"The Constitution of Society: Outline of the Theory of Structuration",,,Scopus
"Shrout P.E., Fleiss J.L.","Intraclass correlations: Uses in assessing rater reliability",1979,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48249153186&doi=10.1037%2f0033-2909.86.2.420&partnerID=40&md5=5217ecc1fd592dd190baa1c382518369",Article,Scopus
"Bollen K.A.","Structural equations with latent variables",2014,"Structural Equations with Latent Variables","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101432319&doi=10.1002%2f9781118619179&partnerID=40&md5=f38ba06bbd15abc223ea302f9297cffd",Book,Scopus
"Browne M.W., Cudeck R.","Alternative ways of assessing model fit",1993,"Testing Structural Equation Models",,,Scopus
[No author name available],[No title available],2001,"Crossing the Quality Chasm: A New Health System for the 21st Century",,,Scopus
"Blau P.M.",[No title available],1986,"Exchange and Power in Social Life",,,Scopus
"Davis F.D., Bagozzi R.P., Warshaw P.R.","User acceptance of computer technology: A comparison of two theoretical models",1989,"Management Science",,,Scopus
"Bentler P.M., Bonett D.G.","Significance tests and goodness of fit in the analysis of covariance structures",1980,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4243159210&doi=10.1037%2f0033-2909.88.3.588&partnerID=40&md5=2dfedf915a84e809cfef0608c149e068",Article,Scopus
"Erdfelder E., FAul F., Buchner A., Lang A.-G.","Statistical power analyses using G*Power 3.1: Tests for correlation and regression analyses",2009,"Behavior Research Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949117960&doi=10.3758%2fBRM.41.4.1149&partnerID=40&md5=c79da9161749d0d3089f00d61921208d",Article,Scopus
"Armstrong J.S., Overton T.S.","Estimating nonresponse bias in mail surveys",1977,"Journal of Marketing Research",,,Scopus
"Morgan R.M., Hunt S.D.","The commitment-trust theory of relationship marketing",1994,"Journal of Marketing",,,Scopus
"Chin W.W.","The partial least squares approach to structural equation modeling",1998,"Modern Methods for Business Research",,,Scopus
"Neter J., Wasserman W., Kutner M.H.",[No title available],1990,"Applied Linear Statistical Models",,,Scopus
"Podsakoff P.M., Organ D.W.","Self-Reports in Organizational Research: Problems and Prospects",1986,"Journal of Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970235764&doi=10.1177%2f014920638601200408&partnerID=40&md5=6461ea40742d6b42fa1de62430d00ddb",Article,Scopus
"Mayer R.C., Davis J.H., Schoorman F.D.","An integrative model of organizational trust",1995,"Academy of Management Review",,,Scopus
"Habermas J.",[No title available],1984,"The Theory of Communicative Action",,,Scopus
"Festinger L.","A Theory of Social Comparison Processes",1954,"Human Relations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4644234910&doi=10.1177%2f001872675400700202&partnerID=40&md5=b411c80e5fed4730775a047e54740144",Article,Scopus
"Venkatesh V., Davis F.D.","Theoretical extension of the Technology Acceptance Model: Four longitudinal field studies",2000,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033872521&doi=10.1287%2fmnsc.46.2.186.11926&partnerID=40&md5=44e332bd026536b8636e9b0ae8841e7b",Article,Scopus
"Campbell D.T., Fiske D.W.","Convergent and discriminant validation by the multitrait-multimethod matrix",1959,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751224822&doi=10.1037%2fh0046016&partnerID=40&md5=399daf5e52828591ca4a4d18759acf77",Article,Scopus
"Ajzen I.","From intentions to actions: A theory of planned behavior",1985,"Action Control: From Cognition to Behavior",,,Scopus
"Nahapiet J., Ghoshal S.","Social capital, intellectual capital, and the organizational advantage",1998,"Academy of Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032375624&doi=10.5465%2fAMR.1998.533225&partnerID=40&md5=df575f1234c7dc39333a931e9ce56cd1",Article,Scopus
"Churchill G.A.","A paradigm for developing better measures of marketing constructs",1979,"Journal of Marketing Research",,,Scopus
"Bandura A.","Self-efficacy mechanism in human agency",1982,"American Psychologist","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746878674&doi=10.1037%2f0003-066X.37.2.122&partnerID=40&md5=42172b60bc6582a704eb2fdb74f35774",Article,Scopus
"Jöreskog K.G., Sörbom D.",[No title available],1993,"LISREL 8: User's Reference Guide",,,Scopus
"Hevner A.R., March S.T., Park J., Ram S.","Design science in information systems research",2004,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242652022&doi=10.2307%2f25148625&partnerID=40&md5=fb1dde6271e2c2d4d646405dcddea0d1",Article,Scopus
"Dillman D.A.",[No title available],1978,"Mail and Telephone Surveys: The Total Design Method",,,Scopus
"Fiske S.T., Taylor S.E.",[No title available],1991,"Social Cognition",,,Scopus
"Vroom V.H.","Work and motivation",1964,"Work and Motivation",,,Scopus
"Schank R.C., Abelson R.P.",[No title available],1977,"Scripts, Plans, Goals and Understanding",,,Scopus
"Portes A.","Social Capital: Its Origins and Applications in Modern Sociology",1998,"Annual Review of Sociology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032331809&doi=10.1146%2fannurev.soc.24.1.1&partnerID=40&md5=8ae5904baf93f4a04828def2ddbfd80d",Article,Scopus
"Oliver R.L.","A cognitive model of the antecedents and consequences of satisfaction decisions",1980,"Journal of Marketing Research",,,Scopus
"Braverman H.",[No title available],1974,"Labor and Monopoly Capital",,,Scopus
"Brislin R.W.","Back-translation for cross-cultural research",1970,"Journal of Cross-Cultural Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965932242&doi=10.1177%2f135910457000100301&partnerID=40&md5=0bcb7421047566bd3d4028dc330b994d",Article,Scopus
"Neter J., Wasserman W., Kutner M.H.",[No title available],1985,"Applied Linear Statistical Methods",,,Scopus
"Burns T., Stalker G.M.",[No title available],1961,"The Management of Innovation",,,Scopus
"DeLone W.H., McLean E.R.","The DeLone and McLean model of information systems success: A ten-year update",2003,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037368865&doi=10.1080%2f07421222.2003.11045748&partnerID=40&md5=3c08f96c96a1b5d5be9cb589ea4ac464",Conference Paper,Scopus
"DeLone W.H., McLean E.R.","Information systems success: The quest for the dependent variable",1992,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249114849&doi=10.1287%2fisre.3.1.60&partnerID=40&md5=648fb88a25e8c62b24d9e517028c9b5b",Article,Scopus
"Alavi M., Leidner D.E.","Review: Knowledge management and knowledge management systems: Conceptual foundations and research issues",2001,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744248703&doi=10.2307%2f3250961&partnerID=40&md5=ec1d3a291d7329ac1ccc48c58fb28952",Article,Scopus
"Hunter J.E., Schmidt F.L.",[No title available],1990,"Methods of Meta-analysis: Correcting Error and Bias in Research Findings",,,Scopus
"Jöreskog K.G., Sörbom D.",[No title available],1993,"LISREL 8: Structural Equation Modeling with the SIMPLIS Command Language",,,Scopus
"Pedhazur E.J.",[No title available],1982,"Multiple Regression in Behavioral Research",,,Scopus
"Ashforth B.E., Mael F.","Social identity theory and the organization",1989,"Academy of Management Review",,,Scopus
"Henseler J., Ringle C.M., Sinkovics R.R.","The use of partial least squares path modeling in international marketing",2009,"Advances in International Marketing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-71049177935&doi=10.1108%2fS1474-7979%282009%290000020014&partnerID=40&md5=11b245e7fa75a34662729514488acb95",Article,Scopus
"Adler P.S., Kwon S.-W.","Social capital: Prospects for a new concept",2002,"Academy of Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036001864&doi=10.5465%2fAMR.2002.5922314&partnerID=40&md5=9e4863f1a6b9e86de4e1cdc5051a2984",Review,Scopus
"Locke E.A., Latham G.P.","A theory of goal setting and task performance",1990,"A Theory of Goal Setting and Task Performance",,,Scopus
"Moore G.C., Benbasat I.","Development of an instrument to measure the perceptions of adopting an information technology innovation",1991,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73449149291&doi=10.1287%2fisre.2.3.192&partnerID=40&md5=a37a9fd47cd98e8dcde3ac1e8df7e009",Article,Scopus
"Kerlinger F.N.",[No title available],1986,"Foundations of Behavioral Research",,,Scopus
"Suchman L.",[No title available],1987,"Plans and Situated Actions",,,Scopus
"Rosenthal R.","The file drawer problem and tolerance for null results",1979,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746341926&doi=10.1037%2f0033-2909.86.3.638&partnerID=40&md5=c13fd0b7ce130f8c609963e31005e29f",Article,Scopus
"Beck K.",[No title available],2000,"Extreme Programming Explained: Embrace Change",,,Scopus
"Weber R.P.",[No title available],1990,"Basic Content Analysis",,,Scopus
"Brown J.S., Duguid P.","Organizational learning and communities-of-practice: Toward a unified view of working, learning, and innovation",1991,"Organization Science",,,Scopus
"Taylor S., Todd P.A.","Understanding information technology usage: A test of competing models",1995,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73549120882&doi=10.1287%2fisre.6.2.144&partnerID=40&md5=1401d3a57310d1f4443f3ef97c188bcd",Article,Scopus
"Steiger J.H.","Structural Model Evaluation and Modification: An Interval Estimation Approach",1990,"Multivariate Behavioral Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948889709&doi=10.1207%2fs15327906mbr2502_4&partnerID=40&md5=92b26e1d294e9fa04f59b4607363db07",Article,Scopus
"Ajzen I.",[No title available],1988,"Attitudes, Personality, and Behavior",,,Scopus
"Krejcie R.V., Morgan D.W.","Determining sample size for research activities",1970,"Educational and Psychological Measurement",,,Scopus
"Gefen D., Karahanna E., Straub D.W.","Trust and tam in online shopping: AN integrated model",2003,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344096683&doi=10.2307%2f30036519&partnerID=40&md5=d4cba689d055b3695bb37df8866bc098",Article,Scopus
"Lindell M.K., Whitney D.J.","Accounting for common method variance in cross-sectional research designs",2001,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991904404&doi=10.1037%2f0021-9010.86.1.114&partnerID=40&md5=6a3895898ebf8494d78b2e0be61339ae",Article,Scopus
"Gefen D., Straub D., Boudreau M.","Structural equation modeling and regression: Guidelines for research practice",2000,"Communications of the Association for Information Systems",,,Scopus
"Hackman J.R., Oldham G.R.","Work redesign",1980,"Work Redesign",,,Scopus
"Bhattacherjee A.","Understanding information systems continuance: An expectation-confirmation model",2001,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000998647&doi=10.2307%2f3250921&partnerID=40&md5=bcd1ddf8c0b536aaddf30bdc30748fcd",Article,Scopus
"French J.R.P., Raven B.","The bases of social power",1959,"Studies in Social Power",,,Scopus
"Hackman J.R., Oldham G.R.","Motivation through the design of work: test of a theory",1976,"Organizational Behavior and Human Performance","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038925782&doi=10.1016%2f0030-5073%2876%2990016-7&partnerID=40&md5=ffec83e21ac90b8b78bd670ddf0dfd01",Article,Scopus
"Chin W.W.","Issues and opinion on structural equation modeling",1998,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002042337&partnerID=40&md5=4385da2ebfbe717f06324e00e6ab9a99",Review,Scopus
"Hulland J.","Use of partial least squares (PLS) in strategic management research: A review of four recent studies",1999,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000230521&doi=10.1002%2f%28sici%291097-0266%28199902%2920%3a2%3c195%3a%3aaid-smj13%3e3.0.co%3b2-7&partnerID=40&md5=4b77841347590623614cf057cb417f79",Article,Scopus
"Comrey A.L., Lee H.B.",[No title available],1992,"A First Course in Factor Analysis",,,Scopus
"Chin W.W., Marcelin B.L., Newsted P.R.","A partial least squares latent variable modeling approach for measuring interaction effects: Results from a Monte Carlo simulation study and an electronic-mail emotion/adoption study",2003,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042242856&doi=10.1287%2fisre.14.2.189.16018&partnerID=40&md5=9fc1325b8e655f3042bd210792b074fe",Article,Scopus
"Nagelkerke N.J.D.","A note on a general definition of the coefficient of determination",1991,"Biometrika","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956887506&doi=10.1093%2fbiomet%2f78.3.691&partnerID=40&md5=b73e1e608812486b7b0c414ffd015a18",Note,Scopus
"Davis F.D., Bagozzi R.P., Warshaw P.R.","Extrinsic and Intrinsic Motivation to Use Computers in the Workplace",1992,"Journal of Applied Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991149383&doi=10.1111%2fj.1559-1816.1992.tb00945.x&partnerID=40&md5=9cfc82aa5fb62a38f06412297ca66a16",Article,Scopus
"Kotter J.P.",[No title available],1996,"Leading Change",,,Scopus
"Pine B.J., Gilmore J.H.",[No title available],1999,"The Experience Economy: Work Is Theatre and Every Business a Stage",,,Scopus
"Venkatesh V.","Determinants of Perceived Ease of Use: Integrating Control, Intrinsic Motivation, and Emotion into the Technology Acceptance Model",2000,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034559541&doi=10.1287%2fisre.11.4.342.11872&partnerID=40&md5=5fae105ac497eb79ae08aea90ed3f84e",Article,Scopus
"Strauss A., Corbin J.","Grounded theory methodology: An overview",1994,"Handbook of Qualitative Research",,,Scopus
"Short J., Williams E., Christie B.",[No title available],1976,"The Social Psychology of Telecommunications",,,Scopus
"Chow G.C.","Tests of equality between sets of coefficients in two linear regressions",1960,"Econometrica",,,Scopus
"Wasko M.M., Faraj S.","Why should I share? Examining social capital and knowledge contribution in electronic networks of practice",2005,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24144482419&doi=10.2307%2f25148667&partnerID=40&md5=1df20707870d7677c2f65a5b4891b54d",Article,Scopus
"Cronbach L.J.",[No title available],1990,"Essentials of Psychological Testing",,,Scopus
"Compeau D.R., Higgins C.A.","Computer self-efficacy: Development of a measure and initial test",1995,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-49149116092&doi=10.2307%2f249688&partnerID=40&md5=c2f806496f15cc9ced1d4960a8aacfdd",Article,Scopus
"Jarvis C.B., Mackenzie S.B., Podsakoff P.M., Giliatt N., Mee J.F.","A Critical Review of Construct Indicators and Measurement Model Misspecification in Marketing and Consumer Research",2003,"Journal of Consumer Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242424963&doi=10.1086%2f376806&partnerID=40&md5=8005b733484cad52126aa3710b9e00e1",Review,Scopus
"Ajzen I., Madden T.J.","Prediction of goal-directed behavior: Attitudes, intentions, and perceived behavioral control",1986,"Journal of Experimental Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37249036235&doi=10.1016%2f0022-1031%2886%2990045-4&partnerID=40&md5=68315feec18ff511a9a2fcd4a2821687",Article,Scopus
"Davis F.D.","A technology acceptance model for empirically testing new end-user information systems: Theory and results",1986,"A Technology Acceptance Model for Empirically Testing New End-user Information Systems: Theory and Results",,,Scopus
"Barclay D., Higgins C., Thompson R.","The partial least squares (PLS) approach to causal modeling: Personal computer adoption and use as an illustration",1995,"Technology Studies",,,Scopus
"Klein H.K., Myers M.D.","A set of principles for conducting and evaluating interpretive field studies in information systems",1999,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001946339&doi=10.2307%2f249410&partnerID=40&md5=18a010339a901019fab06052a5bd0304",Article,Scopus
"Zuboff S.",[No title available],1988,"In the Age of the Smart Machine: The Future of Work and Power",,,Scopus
"Venkatesh V., Bala H.","Technology acceptance model 3 and a research agenda on interventions",2008,"Decision Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43649087245&doi=10.1111%2fj.1540-5915.2008.00192.x&partnerID=40&md5=9994c9e7f3e5d9996c171d4ae5c01dab",Article,Scopus
"Norman D.A.",[No title available],1988,"The Psychology of Everyday Things",,,Scopus
"McKnight D.H., Choudhury V., Kacmar C.","Developing and validating trust measures for e-commerce: An integrative typology",2002,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036737236&doi=10.1287%2fisre.13.3.334.81&partnerID=40&md5=ffcc9f2afd3e20f1b72131f24c057ec8",Article,Scopus
"Pfeffer J.","Power in organizations",1981,"Power in Organizations",,,Scopus
"Oppenheim A.N.",[No title available],1992,"Questionnaire Design, Interviewing and Attitude Measurement",,,Scopus
"Goodhue D.L., Thompson R.L.","Task-technology fit and individual performance",1995,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001019104&doi=10.2307%2f249689&partnerID=40&md5=47a015f8f4fc1b93975c509d70c24f05",Article,Scopus
"Glass G.V.","Primary, secondary, and meta-analysis of research",1976,"Educational Researcher",,,Scopus
"Benbasat I., Goldstein D.K., Mead M.","The case research strategy in studies of information systems",1987,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249084997&doi=10.2307%2f248684&partnerID=40&md5=3f8c543931b9a67b0b86da050bc87e9d",Article,Scopus
"Pavlou P.A.","Consumer acceptance of electronic commerce: Integrating trust and risk with the technology acceptance model",2003,"International Journal of Electronic Commerce","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649951505&doi=10.1080%2f10864415.2003.11044275&partnerID=40&md5=ad956253e4c0dae75a39cc9cdcf1fb6f",Article,Scopus
"Rizzo J.R., House R.J., Lirtzman S.I.","Role conflict and ambiguity in complex organizations",1970,"Administrative Science Quarterly",,,Scopus
"Diamantopoulos A., Winklhofer H.M.","Index construction with formative indicators: An alternative to scale development",2001,"Journal of Marketing Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035534144&doi=10.1509%2fjmkr.38.2.269.18845&partnerID=40&md5=d980ef5558574770b096a3510be455a5",Article,Scopus
"Salancik G.R., Pfeffer J.","A social information processing approach to job attitudes and task design.",1978,"Administrative science quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017980080&doi=10.2307%2f2392563&partnerID=40&md5=74da477c895be571d83af73a115105f0",Review,Scopus
"Deutsch M., Gerard H.B.","A study of normative and informational social influences upon individual judgment",1955,"Journal of Abnormal and Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846002705&doi=10.1037%2fh0046408&partnerID=40&md5=70116ddc860fae6761ace00d4b624ae2",Article,Scopus
"Emirbayer M., Mische A.","What is agency?",1998,"American Journal of Sociology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032354630&doi=10.1086%2f231294&partnerID=40&md5=6831f1640eb4d24fc80051b39e0eabc4",Article,Scopus
"Ringle C.M., Wende S., Will A.",[No title available],2005,"SmartPLS 2.0 (M3) Beta",,,Scopus
"Bock G.-W., Zmud R.W., Kim Y.-G., Lee J.-N.","Behavioral intention formation in knowledge sharing: Examining the roles of extrinsic motivators, social-psychological forces, and organizational climate",2005,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-31744431889&doi=10.2307%2f25148669&partnerID=40&md5=1a5ffeec27dd058c073eebf2b8ed5628",Article,Scopus
"Chin W.W.","How to write up and report PLS analyses",2010,"Handbook of Partial Least Squares",,,Scopus
"Orlikowski W.J.","Using Technology and Constituting Structures: A Practice Lens for Studying Technology in Organizations",2000,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034416232&doi=10.1287%2forsc.11.4.404.14600&partnerID=40&md5=532c01b2ac004dd39901ca06999c63b8",Article,Scopus
"Ouchi W.G.","Markets, bureaucracies, and clans",1980,"Administrative Science Quarterly",,,Scopus
"Orlikowski W.J.","The duality of technology: Rethinking the concept of technology in organizations",1992,"Organization Science",,,Scopus
"West S.G., Finch J.F., Curran P.J.","Structural equation models with nonnormal variables: Problems and remedies",1995,"Structural Equation Modeling: Concepts, Issues, and Applications",,,Scopus
"Fornell C., Bookstein F.L.","Two structural equation models: LISREL and PLS applied to consumer exit-voice theory",1982,"Journal of Marketing Research",,,Scopus
"Marsh H.W., Balla J.R., McDonald R.P.","Goodness-of-Fit Indexes in Confirmatory Factor Analysis: The Effect of Sample Size",1988,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142717451&doi=10.1037%2f0033-2909.103.3.391&partnerID=40&md5=bb5bcca393dffc37dfc03e0503b7cf8a",Article,Scopus
"Agarwal R., Karahanna E.","Time flies when you're having fun: Cognitive absorption and beliefs about information technology usage",2000,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000913978&doi=10.2307%2f3250951&partnerID=40&md5=bb235a17c9dc876eb8239b9caee78bda",Article,Scopus
"Fornell C., Larcker D.F.","Structural equation models with unobservable variables and measurement error: Algebra and statistics",1981,"Journal of Marketing Research",,,Scopus
"Weick K.E.","The collapse of sensemaking in organizations: The Mann Gulch disaster",1993,"Administrative Science Quarterly",,,Scopus
"Venkatesh V., Morris M.G.","Why don't men ever stop to ask for directions? Gender, social influence, and their role in technology acceptance and usage behavior",2000,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744246034&doi=10.2307%2f3250981&partnerID=40&md5=c55f8995f9383ffacb67adec19f7a1f6",Article,Scopus
"Sharma S.","Applied multivariate techniques",1996,"Applied Multivariate Techniques",,,Scopus
"Efron B., Gong G.","A leisurely look at the bootstrap, the jackknife, and cross-validation",1983,"American Statistician","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945737762&doi=10.1080%2f00031305.1983.10483087&partnerID=40&md5=274828a173babb1cb28b5a027522fa06",Article,Scopus
"Miller J.B.",[No title available],1976,"Toward a New Psychology of Women",,,Scopus
