Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
Langley A.,Strategies for theorizing from process data,1999,Academy of Management Review,Article,CHILD
Lanza R.B.,Does your project risk management system do the job?,2000,Information Strategy: The Executive' S Journal,,CHILD
"Lapinski A.R., Horman M.J., Riley D.R.",Lean processes for sustainable project delivery,2006,Journal of Construction Engineering and Management,Article,CHILD
Latour B.,Visualization and cognition: Thinking with eyes and hands,1986,Knowledge and Society,,CHILD
"Lavy I., Yadin A.",Team-based peer review as a form of formative assessment-the case of a systems analysis and design workshop,2010,Journal of Information Systems Education,,CHILD
"Machlis G.E., Rosa E.A.",Desired Risk: Broadening the Social Amplification of Risk Framework,1990,Risk Analysis,Article,CHILD
"March James G., Shapira Zur",MANAGERIAL PERSPECTIVES ON RISK AND RISK TAKING.,1987,Management Science,Article,CHILD
"Keil M., Cule P.E., Lyytinen K., Schmidt R.C.",A framework for identifying software project risks,1998,Communications of the ACM,Article,CHILD
"Markus M.L., Mao J.-Y.","Participation in development and implementation - Updating an old, tired concept for today's IS contexts",2004,Journal of the Association for Information Systems,,CHILD
"McKeen J.D., Guimaraes T., Wetherbe J.C.",The relationship between user participation and user satisfaction: An investigation of four contingency factors,1994,MIS Quarterly: Management Information Systems,Article,CHILD
"Mitchell V.W., Boustani P.",A preliminary investigation into pre- and post-purchase risk perception and reduction,1994,European Journal of Marketing,,CHILD
Nelson R.R.,"IT project management: Infamous failures, classic mistakes, and best practices",2007,MIS Quarterly Executive,,CHILD
Peltokorpi V.,Synthesising the paradox of organisational routine flexibility and stability: A processual view,2008,International Journal of Technology Management,Article,CHILD
"Pentland B.T., Rueter H.H.",Organizational routines as grammars of action,1994,Administrative Science Quarterly,,CHILD
"Ropponen J., Lyytinen K.",Can software risk management improve system development: An exploratory study,1997,European Journal of Information Systems,Article,CHILD
"Schmidt R., Lyytinen K., Keil M., Cule P.",Identifying software project risks: An international Delphi study,2001,Journal of Management Information Systems,Article,CHILD
"Shafir E., Simonson I., Tversky A.",Reason-based choice,1993,Cognition,Article,CHILD
"Shehu Z., Akintoye A.",Major challenges to the successful implementation and practice of programme management in the construction environment: A critical analysis,2010,International Journal of Project Management,Article,CHILD
"Slovic P., Fischhoff B., Lichtenstein S.",Facts and fears: Understanding perceived risk,1980,Societal Risk Assessment: How Safe Is Safe Enough?,,CHILD
Smallman C.,Challenging the orthodoxy in risk management,1996,Safety Science,Article,CHILD
"Starbuck W.H., Milliken F.J.",CHALLENGER: FINE‐TUNING THE ODDS UNTIL SOMETHING BREAKS,1988,Journal of Management Studies,Article,CHILD
Taylor H.,Critical risks in outsourced it projects: The intractable and the unforeseen,2006,Communications of the ACM,Review,CHILD
"Tsoukas H., Chia R.",On organizational becoming: Rethinking organizational change,2002,Organization Science,Article,CHILD
"Van Rekom J., Van Riel C.B.M., Wierenga B.",A methodology for assessing organizational core values,2006,Journal of Management Studies,Article,CHILD
"Weich K.E., Quinn R.E.",Organizational change and development,1999,Annual Review of Psychology,Article,CHILD
"Weick K.E., Roberts K.H.",Collective mind in organizations: Heedful interrelating on flight decks,1993,Administrative Science Quarterly,,CHILD
"White M.P., Pahl S., Buehner M., Haye A.",Trust in risky messages: The role of prior attitudes,2003,Risk Analysis,Article,CHILD
Whittaker B.,What went wrong? Unsuccessful information technology projects,1999,Information Management and Computer Security,Article,CHILD
Williams T.,Assessing and moving on from the dominant project management discourse in the light of project overruns,2005,IEEE Transactions on Engineering Management,Review,CHILD
"Woods D.D., Hollnagel E.",Prologue: Resilience engineering concepts,2006,Resilience Engineering: Concepts and Precepts,,CHILD
"Yang B., Burns N.D., Backhouse C.J.",Management of uncertainty through postponement,2004,International Journal of Production Research,Article,CHILD
Reference Count: 64,,,,,
,,,,,
"de Bakker K., Boonstra A., Wortmann H.",Risk managements' communicative effects influencing IT project success,2012,International Journal of Project Management,Article,PARENT
"Agarwal N., Rathod U.",Defining 'success' for software projects: An exploratory revelation,2006,International Journal of Project Management,Article,CHILD
"Akkermans H., Van Helden K.",Vicious and virtuous cycles in ERP implementation: A case study of interrelations between critical success factors,2002,European Journal of Information Systems,Article,CHILD
[No author name available],APM Body of Knowledge,2006,APM Body of Knowledge,,CHILD
Atkinson R.,"Project management: Cost, time and quality, two best guesses and a phenomenon, its time to accept other success criteria",1999,International Journal of Project Management,Article,CHILD
Bannerman P.L.,Risk and risk management in software projects: A reassessment,2008,Journal of Systems and Software,Article,CHILD
Beck U.,Critical theory of world risk society: A cosmopolitan vision,2009,Constellations,,CHILD
"Besner C., Hobbs B.",The perceived value and potential contribution of project management practices to project success,2006,Project Management Journal,,CHILD
"Cicmil S., Williams T., Thomas J., Hodgson D.",Rethinking Project Management: Researching the actuality of projects,2006,International Journal of Project Management,Article,CHILD
"Cicmil S., Cooke-Davies T., Crawford L., Richardson K.",Complexity and the paradox of project control,2009,Proceedings of the IX IRNOP Conference,,CHILD
"de Bakker K., Boonstra A., Wortmann H.",Does risk management contribute to IT project success? A meta-analysis of empirical evidence,2010,International Journal of Project Management,Article,CHILD
"De Bakker K., Boonstra A., Wortmann H.",Risk management affecting IS/IT Project success through communicative action,2011,Project Management Journal,Article,CHILD
de Wit A.,Measurement of project success,1988,International Journal of Project Management,Article,CHILD
"Del Caño A., De La Cruz M.P.",Integrated methodology for project risk management,2002,Journal of Construction Engineering and Management,Article,CHILD
"Ehie I.C., Madsen M.",Identifying critical issues in enterprise resource planning (ERP) implementation,2005,Computers in Industry,Article,CHILD
"Reich B.H., Wee S.Y.",Searching for knowledge in the PMBOK guide,2006,Project Management Journal,,CHILD
"Kutsch E., Hall M.",Intervening conditions on the management of project risk: Dealing with uncertainty in information technology projects,2005,International Journal of Project Management,Article,CHILD
Pender S.,Managing incomplete knowledge: Why risk management is not sufficient,2001,International Journal of Project Management,Note,CHILD
Pinto J.K.,Project Management: Achieving Competitive Advantage,2007,Project Management: Achieving Competitive Advantage,,CHILD
[No author name available],Project management body of knowledge (PMBoK),1986,Project Management Journal,,CHILD
Söderlund J.,"Building theories of project management: Past research, questions for the future",2004,International Journal of Project Management,Article,CHILD
"Turner J.R., Cochrane R.A.",Goals-and-methods matrix: coping with projects with ill defined goals and/or methods of achieving them,1993,International Journal of Project Management,Article,CHILD
"Voetsch R.J., Cioffi D.F., Anbari F.T.",Project risk management practices and their association with reported project success,2004,Proceedings of 6th IRNOP Project Research Conference,,CHILD
Williams T.,Assessing and moving on from the dominant project management discourse in the light of project overruns,2005,IEEE Transactions on Engineering Management,Review,CHILD
Reference Count: 23,,,,,
,,,,,
"Mignerat M., Rivard S.",The institutionalization of information system project management practices,2012,Information and Organization,Article,PARENT
Ackoff R.L.,Management misinformation systems,1967,Management Science,,CHILD
Alavi M.,An assessment of the prototyping approach to information systems development,1984,Communications of the ACM,Article,CHILD
"Alter S., Ginzberg M.",Managing uncertainty in MIS implementation,1978,Sloan Management Review,,CHILD
"Austing R.H., Barnes B.H., Engel G.L.",A Survey of the Literature in Computer Science Education Since Curriculum '68,1977,Communications of the ACM,Article,CHILD
Avgerou C.,IT and organizational change: An institutionalist perspective,2000,Information Technology & People,Article,CHILD
Baker F.T.,Chief programmer team management of production programming,1972,IBM Systems Journal,,CHILD
"Barki H., Hartwick J.","Measuring user participation, user involvement, and user attitude",1994,MIS Quarterly: Management Information Systems,Article,CHILD
"Barki H., Rivard S., Talbot J.",Toward an assessment of software development risk,1993,Journal of Management Information Systems,Article,CHILD
"Barki H., Rivard S., Talbot J.",An integrative contingency model of software project risk management,2001,Journal of Management Information Systems,Article,CHILD
"Barley S.R., Tolbert P.S.",Institutionalization and structuration: Studying the links between action and institution,1997,Organization Studies,Article,CHILD
"Barreto I., Baden-Fuller C.","To conform or to perform? Mimetic behaviour, legitimacy-based groups and performance consequences",2006,Journal of Management Studies,Article,CHILD
"Benbasat I., Vessey I.",Programmer and analyst time/cost estimation,1980,MIS Quarterly: Management Information Systems,Article,CHILD
"Bernier C., Rivard S.",A Contingency Model for the Management of Software Projects: An Empirical Investigation,2019,"ASAC Conference, Whistler, B.C., June, 1990",,CHILD
Boehm B.W.,An Experiment in Small-Scale Application Software Engineering,1981,IEEE Transactions on Software Engineering,Article,CHILD
Boehm B.W.,Software Engineering Economics,1984,IEEE Transactions on Software Engineering,Article,CHILD
Boehm B.W.,A Spiral Model of Software Development and Enhancement,1988,Computer,Article,CHILD
Boehm B.W.,Software Risk Management: Principles and Practices,1991,IEEE Software,Article,CHILD
"Boehm B.W., Mcclean R.K., Urfrig D.E.",Some Experience with Automated Aids to the Design of Large-Scale Reliable Software,1975,IEEE Transactions on Software Engineering,Article,CHILD
"Boehm B.W., Ross R.",Theory-W Software Project Management: Principles and Examples,1989,IEEE Transactions on Software Engineering,Article,CHILD
"Brooks F.P., Jr.",Management Problems of the Business Computer Installation,1956,IRE Transactions on Engineering Management,Article,CHILD
Brooks F.P.,The Mythical Man-Month,1975,The Mythical Man-Month,,CHILD
"Carlson E., Grace B., Sutton J.",Case studies of end user requirements for interactive problem-solving systems,1977,MIS Quarterly,,CHILD
"Carmines E.G., Zeller R.A.",Reliability and validity assessment,1979,Reliability and Validity Assessment,,CHILD
"Choudhury V., Sabherwal R.",Portfolios of Control in Outsourced Software Development Projects,2003,Information Systems Research,Article,CHILD
Clippinger R.F.,Economics of the digital computer,1955,Harvard Business Review,,CHILD
"Cooper D.J., Robson K.","Accounting, professions and regulation: Locating the sites of professionalization",2006,"Accounting, Organizations and Society",Article,CHILD
Couger J.D.,Curriculum Recommendations for Undergraduate Programs in Information Systems,1973,Communications of the ACM,Article,CHILD
"Couger J.D., Davis G.B., Dologite D.G., Feinstein D.L., Gorgone J.T., Jenkins A.M., Kasper G.M., Little J.C., Longenecker Jr. H.E., Valacich J.S.",IS'95: Guideline for undergraduate IS curriculum,1995,MIS Quarterly: Management Information Systems,Article,CHILD
"Cox D.F., Good R.E.",How to build a marketing information system,1967,Harvard Business Review,,CHILD
Damianides M.,Sarbanes–Oxley and it governance: New guidance on it control and compliance,2005,Information Systems Management,Article,CHILD
"Davis G.B., Olson M.H.",Management information systems,1985,"Management Information Systems: Conceptual Foundations, Structure, and Development",,CHILD
"Davis G.B., Gorgone J.T., Couger J.D., Feinstein D.L., Longenecker Jr. H.E.",IS'97: Model curriculum and guidelines for undergraduate degree programs in information systems,1997,IS '97 Model Curriculum and Guidelines for Undergraduate Degree Programs in Information Systems,,CHILD
Dean N.J.,The computer comes of age,1968,Harvard Business Review,,CHILD
Dearden J.,How to organize information systems,1965,Harvard Business Review,,CHILD
"Dearden J., Nolan R.L.",How to control the computer resource,1973,Harvard Business Review,,CHILD
"De Brabander Bert, Edstrom Anders",SUCCESSFUL INFORMATION SYSTEM DEVELOPMENT PROJECTS.,1977,Management Science,Article,CHILD
"DeMarco T., Lister T.",Peopleware,1987,Peopleware,,CHILD
Diebold J.,A.D.P. - The still-sleeping giant,1964,Harvard Business Review,,CHILD
"Evans M.K., Hague L.R.",Master plan for information systems,1962,Harvard Business Review,,CHILD
Fairbanks R.W.,Electronics in the Modern Office,1952,HBR,,CHILD
"Faraj S., Sambamurthy V.",Leadership of information systems development projects,2006,IEEE Transactions on Engineering Management,Article,CHILD
Fiock L.R.,Seven deadly dangers in edP,1962,Harvard Bus. Rev,,CHILD
Garrity J.T.,Top management and computer profits,1963,Harvard Business Review,,CHILD
Ginzberg Michael J.,EARLY DIAGNOSIS OF MIS IMPLEMENTATION FAILURE: PROMISING RESULTS AND UNANSWERED QUESTIONS.,1981,Management Science,Article,CHILD
Ginzberg M.J.,Key recurrent issues in the MIS implementation process,1981,MIS Quarterly: Management Information Systems,Article,CHILD
Goldman P.,Searching for history in organizational theory: Comment on Kieser,1994,Organization Science,,CHILD
"Gorgone J.T., Davis G.B., Valacich J.S., Topi H., Feinstein D.L., Longenecker Jr. H.E.",IS 2002: Model curriculum and guidelines for undergraduate degree programs in information systems,2003,Data Base for Advances in Information Systems,Review,CHILD
"Gorgone J.T., Gray P., Stohr E.A., Valacich J.S., Wigand R.T.",MSIS 2006: Model curriculum and guidelines for graduate degree programs in information systems,2006,Communications of the Association for Information Systems,,CHILD
"Gorry G.A., Scott Morton M.S.",A framework for management information systems,1971,Sloan Management Review,,CHILD
"Greenwood R., Suddaby R.",Institutional entrepreneurship in mature fields: The big five accounting firms,2006,Academy of Management Journal,Article,CHILD
"Greenwood R., Suddaby R., Hinings C.R.",Theorizing change: The role of professional associations in the transformation of institutionalized fields,2002,Academy of Management Journal,Article,CHILD
"Haines G., Heider F., Remington D.",The computer as a small-group member,1961,Administrative Science Quarterly,,CHILD
Lee H.C.,On Information Technology and Organization Structure,1964,Academy of Management,,CHILD
Hax Arnoldo C.,PLANNING A MANAGEMENT INFORMATION SYSTEM FOR A DISTRIBUTING AND MANUFACTURING COMPANY.,1973,Sloan Manage Rev,Article,CHILD
"Higgins J.A., Glickauf J.S.",Electronics down to earth,1954,Harvard Business Review,,CHILD
Hoffman A.J.,Linking organizational and field-level analyses: The Diffusion of corporate environmental practice,2001,Organization and Environment,Article,CHILD
Hosier W.A.,Pitfalls and Safeguards in Real-Time Digital Systems with Emphasis on Programming,1961,IRE Transactions on Engineering Management,Article,CHILD
"Igersheim R.H., Swanson L.A.",MANAGEMENT INFORMATION SYSTEMS CURRICULA: STATE‐OF‐THE‐ART,1974,Decision Sciences,Article,CHILD
Jones G.E.,From the thoughtful businessman,1960,Harvard Business Review,,CHILD
"Keil M., Cule P.E., Lyytinen K., Schmidt R.C.",A framework for identifying software project risks,1998,Communications of the ACM,Article,CHILD
Kieser A.,Why organization theory needs historical analyses - And how this should be performed,1994,Organization Science,,CHILD
"King W.R., Wilson T.A.",Subjective time estimates in critical path planning - A preliminary analysis,1967,Management Science,,CHILD
"King W.R., Wittevrongel D.M., Hezel K.D.",On the analysis of critical path time estimating behavior,1967,Management Science,,CHILD
Kircher P.,Management planning and control-what next?,1956,Management Science,,CHILD
Kirsch L.J.,Portfolios of Control Modes and IS Project Management,1997,Information Systems Research,Article,CHILD
Kirsch L.J.,Deploying common systems globally: The dynamics of control,2004,Information Systems Research,Review,CHILD
"Kirsch L.J., Sambamurthy V., Ko D.-G., Purvis R.L.",Controlling information systems development projects: The view from the client,2002,Management Science,Article,CHILD
Kling R.,The organizational context of user-centered software designs,1977,MIS Quarterly,,CHILD
"Kraut R.E., Streeter L.A.",Coordination in Software Development,1995,Communications of the ACM,Article,CHILD
Langley A.,Strategies for theorizing from process data,1999,Academy of Management Review,Article,CHILD
"Lawrence M., Low G.",Exploring individual user satisfaction within user-led development,1993,MIS Quarterly: Management Information Systems,Article,CHILD
"Lawrence T.B., Winn M.I., Jennings P.D.",The temporal dynamics of institutionalization,2001,Academy of Management Review,Article,CHILD
"Leblebici H., Shah N.","The birth, transformation and regeneration of business incubators as new organisational forms: Understanding the interplay between organisational history and organisational theory",2004,Business History,Article,CHILD
Lucas Jr. Henry C.,MEASURING EMPLOYEE REACTIONS TO COMPUTER OPERATIONS.,1974,Sloan Manage Rev,Article,CHILD
Lucas H.C.,Empirical evidence for a descriptive model of implementation,1978,MIS Quarterly,,CHILD
Lucas Henry C.,EVOLUTION OF AN INFORMATION SYSTEM: FROM KEY-MAN TO EVERY PERSON.,1978,Sloan Manage Rev,Article,CHILD
"Lyytinen K., Rose G.M.",The disruptive nature of information technology innovations: The case of internet computing in systems development organizations,2003,MIS Quarterly: Management Information Systems,Article,CHILD
Mahmood M.A.,System development methods - A comparative investigation,1987,MIS Quarterly: Management Information Systems,Article,CHILD
"Mann F.C., Williams L.K.",Observations on the dynamics of a change to electronic data-processing equipment,1960,Administrative Science Quarterly,,CHILD
"Mason R.O., McKenney J.L., Copeland D.G.",An historical method for MIS research: Steps and assumptions,1997,MIS Quarterly: Management Information Systems,Article,CHILD
McFarlan F.W.,Management audit of the EDP department,1973,Harvard Business Review,,CHILD
McFarlan F.W.,Portfolio approach to information systems,1981,Harvard Business Review,,CHILD
Ashenhurst R.L.,Curriculum Recommendations for Graduate Professional Programs in Information Systems,1972,Communications of the ACM,Article,CHILD
"McKenney J.L., Tonge F.M.",The State of Computer Oriented Curricula in Business Schools 1970,1971,Communications of the ACM,Article,CHILD
Meyer A.D.,Adapting to environmental jolts.,1982,Administrative science quarterly,Article,CHILD
"Meyer J.W., Rowan B.",Institutionalized organizations: Formal structure as myth and ceremony,1977,American Journal of Sociology,,CHILD
Munir K.A.,The social construction of events: A study of institutional change in the photographic field,2005,Organization Studies,Review,CHILD
"Muzio D., Brock D., Suddaby R.","Call for papers, professions and institutional change",2010,Journal of Management Studies,,CHILD
Nidumolu S.,The effect of coordination and uncertainty on software project performance: Residual performance risk as an intervening variable,1995,Information Systems Research,Article,CHILD
Nidumolu S.R.,A Comparison of the Structural Contingency and Risk-Based Perspectives on Coordination in Software-Development Projects,1996,Journal of Management Information Systems,Review,CHILD
"Nidumolu S.R., Subramani M.R.",The Matrix of Control: Combining Process and Structure Approaches to Managing Software Development,2003,Journal of Management Information Systems,Article,CHILD
Nolan R.L.,Business Needs a New Breed of EDP Manager,1976,Harvard Business Review,,CHILD
"Nunamaker J.F., Jr., Couger J.D., Davis G.B.",Information Systems Curriculum Recommendations for the 80s: Undergraduate and Graduate Programs,1982,Communications of the ACM,Article,CHILD
Oliver C.,Strategic responses to institutional processes,1991,Academy of Management Review,,CHILD
"Pinto Jeffrey K., Slevin Dennis P.",CRITICAL FACTORS IN SUCCESSFUL PROJECT IMPLEMENTATION.,1987,IEEE Transactions on Engineering Management,Article,CHILD
"Powers R.F., Dickson G.W.","MisProject Management: Myths, Opinions, and Reality",1973,California Management Review,Article,CHILD
[No author name available],Project management quarterly special report-Standards,1983,Project Management Quarterly,,CHILD
[No author name available],Project management body of knowledge (PMBoK),1986,Project Management Journal,,CHILD
Putnam L.H.,A General Empirical Solution to the Macro Software Sizing and Estimating Problem,1978,IEEE Transactions on Software Engineering,Article,CHILD
"RADNOR M, RUBENSTEIN AH, TANSIK DA",IMPLEMENTATION IN OPERATIONS RESEARCH AND R&D IN GOVERNMENT AND BUSINESS ORGANIZATION,1970,Operations Research,Article,CHILD
"Robey D., Boudreau M.-C.",Accounting for the Contradictory Organizational Consequences of Information Technology: Theoretical Directions and Methodological Implications,1999,Information Systems Research,Article,CHILD
"Ropponen J., Lyytinen K.",Can software risk management improve system development: An exploratory study,1997,European Journal of Information Systems,Article,CHILD
Rosenzweig J.,The Weapon Systems Management Concept and Electronic Data Processing,1960,Management Science,,CHILD
Schewe C.D.,The management information system user: An exploratory behavioral analysis,1976,Academy of Management Journal,,CHILD
Schmidt R.N.,Executive decision making,1958,Academy of Management Journal,,CHILD
Schmidt R.N.,Management and the electronic computer,1960,The Journal of the Academy of Management,,CHILD
"Schmitt J.W., Kozar K.A.",Management's role in information system development failures: A case study,1978,MIS Quarterly,,CHILD
Scott W.R.,Lords of the dance: Professionals as institutional agents,2008,Organization Studies,Article,CHILD
"Strang D., Meyer J.W.",Institutional conditions for diffusion,1993,Theory and Society,Article,CHILD
Swanson E.Burton,MIS STORY.,1974,IEEE Transactions on Engineering Management,Article,CHILD
"Taylor J.W., Dean N.J.",Managing to manage the computer,1966,Harvard Business Review,,CHILD
[No author name available],Computing curricula 2001,2001,J. Educ. Resour. Comput.,,CHILD
"Tolbert P.S., Zucker L.G.","Institutional sources of change in the formal structure of organizations: The diffusion of civil service reform, 1880-1935",1983,Administrative Science Quarterly,,CHILD
"Tolbert P.S., Zucker L.G.",The institutionalization of institutional theory,1996,Handbook of Organization Studies,,CHILD
"Webster J., Watson R.T.",Analyzing the past to prepare for the future: Writing a literature review,2002,MIS Quarterly,,CHILD
Whisler T.L.,The manager and the computer,1965,Journal of Accountancy,,CHILD
Zahedi F.,Reliability of information systems based on the critical success factors - formulation,1987,MIS Quarterly: Management Information Systems,Article,CHILD
"Zmud R.W., Cox J.F.",The implementation process: A change approach,1979,MIS Quarterly,,CHILD
Reference Count: 118,,,,,
,,,,,
"Taylor H., Artman E., Woelfer J.P.",Information technology project risk management: Bridging the gap between research and practice,2012,Journal of Information Technology,Article,PARENT
"Addison T., Vallabh S.",Controlling software project risks: An empirical study of methods used by experienced project managers,2002,Proceedings of SAICSIT,,CHILD
"Alter S., Ginzberg M.",Managing uncertainty in MIS implementation,1978,Sloan Management Review,,CHILD
[No author name available],APM Body of Knowledge,2006,APM Body of Knowledge,,CHILD
Bannerman P.L.,Risk and risk management in software projects: A reassessment,2008,Journal of Systems and Software,Article,CHILD
"Barki H., Rivard S., Talbot J.",Toward an assessment of software development risk,1993,Journal of Management Information Systems,Article,CHILD
"Barki H., Rivard S., Talbot J.",An integrative contingency model of software project risk management,2001,Journal of Management Information Systems,Article,CHILD
"Benbasat I., Zmud R.W.",Empirical research in information systems: The practice of relevance,1999,MIS Quarterly: Management Information Systems,Article,CHILD
Boehm B.W.,Software and its impact: A quantitative assessment,1973,Datamation,,CHILD
Boehm B.W.,Seven basic principles of software engineering,1983,The Journal of Systems and Software,Article,CHILD
Boehm B.W.,Software Risk Management: Principles and Practices,1991,IEEE Software,Article,CHILD
Charette R.N.,The mechanics of managing IT risk,1996,Journal of Information Technology,Article,CHILD
Creswell J.W.,"Educational research: Planning, conducting, and evaluating quantitative and qualitative research",2002,"Educational Research: Planning, Conducting, and Evaluating Quantitative and Qualitative Research",,CHILD
"de Bakker K., Boonstra A., Wortmann H.",Does risk management contribute to IT project success? A meta-analysis of empirical evidence,2010,International Journal of Project Management,Article,CHILD
Desforges C.,Putting educational research to use through knowledge transformation,2000,Presented at the Further Education Research Conference,,CHILD
Fairley R.,Risk management for software projects,1994,IEEE Software,Article,CHILD
"Heemstra F.J., Kusters R.J.",Dealing with risk: A practical approach,1996,Journal of Information Technology,Article,CHILD
"Herbsleb J., Zubrow D., Goldenson D., Hayes W., Paulk M.",Software Quality and the Capability Maturity Model,1997,Communications of the ACM,Article,CHILD
"Howell D., Windahl C., Seidel R.",A project contingency framework based on uncertainty and its consequences,2010,International Journal of Project Management,Article,CHILD
"Jiang J.J., Klein G., Discenza R.","Pre-project partnering impact on an information system project, project team and project manager",2002,European Journal of Information Systems,Article,CHILD
"Jiang J.J., Klein G., Hwang H.-G., Huang J., Hung S.-Y.",An exploration of the relationship between software development process maturity and project performance,2004,Information and Management,Article,CHILD
"Keil M., Cule P.E., Lyytinen K., Schmidt R.C.",A framework for identifying software project risks,1998,Communications of the ACM,Article,CHILD
"Kutsch E., Hall M.",Intervening conditions on the management of project risk: Dealing with uncertainty in information technology projects,2005,International Journal of Project Management,Article,CHILD
"Levina N., Vaast E.",The emergence of boundary spanning competence in practice: Implications for implementation and use of information systems,2005,MIS Quarterly: Management Information Systems,Article,CHILD
"March James G., Shapira Zur",MANAGERIAL PERSPECTIVES ON RISK AND RISK TAKING.,1987,Management Science,Article,CHILD
Markus M.L.,The qualitative difference in information systems research and practice,1997,Information Systems and Qualitative Research,,CHILD
Markides C.,Crossing the chasm: How to convert relevant research into managerially useful research,2011,Journal of Applied Behavioral Science,Article,CHILD
