Authors,Title,Year,Source title,Link,Document Type,Source
"Gottfredson M., Hirschi T.",[No title available],1990,"A General Theory of Crime",,,Scopus
"Becker G.S.","Crime and punishment: An economic approach",1968,"Journal of Political Economy",,,Scopus
"Hirschi T.",[No title available],1969,"Causes of Delinquency",,,Scopus
"Eisenhardt K.M.","Agency theory: An assessment and review",1989,"Academy of Management Review",,,Scopus
"Jöreskog K.G., Sörbom D.",[No title available],1993,"LISREL 8: Structural Equation Modeling with the SIMPLIS Command Language",,,Scopus
"Skinner B.F.",[No title available],1953,"Science and Human Behavior",,,Scopus
"Giddens A.",[No title available],1984,"The Constitution of Society",,,Scopus
"Kerlinger F.N.",[No title available],1986,"Foundations of Behavioral Research",,,Scopus
"Taylor S., Todd P.A.","Understanding information technology usage: A test of competing models",1995,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73549120882&doi=10.1287%2fisre.6.2.144&partnerID=40&md5=1401d3a57310d1f4443f3ef97c188bcd",Article,Scopus
"Ajzen I.",[No title available],1988,"Attitudes, Personality, and Behavior",,,Scopus
"Lindell M.K., Whitney D.J.","Accounting for common method variance in cross-sectional research designs",2001,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991904404&doi=10.1037%2f0021-9010.86.1.114&partnerID=40&md5=6a3895898ebf8494d78b2e0be61339ae",Article,Scopus
"Gefen D., Straub D., Boudreau M.","Structural equation modeling and regression: Guidelines for research practice",2000,"Communications of the Association for Information Systems",,,Scopus
"Damanpour F.","Organizational innovation: A meta-analysis of effects of determinants and moderators",1991,"Academy of Management Journal",,,Scopus
"Chin W.W.","Issues and opinion on structural equation modeling",1998,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002042337&partnerID=40&md5=4385da2ebfbe717f06324e00e6ab9a99",Review,Scopus
"Comrey A.L., Lee H.B.",[No title available],1992,"A First Course in Factor Analysis",,,Scopus
"Chin W.W., Marcelin B.L., Newsted P.R.","A partial least squares latent variable modeling approach for measuring interaction effects: Results from a Monte Carlo simulation study and an electronic-mail emotion/adoption study",2003,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042242856&doi=10.1287%2fisre.14.2.189.16018&partnerID=40&md5=9fc1325b8e655f3042bd210792b074fe",Article,Scopus
"Sampson R.J., Laub J.H.",[No title available],1993,"Crime in the Making",,,Scopus
"Browne M.W., Cudeck R.","Alternative Ways of Assessing Model Fit",1992,"Sociological Methods & Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965455705&doi=10.1177%2f0049124192021002005&partnerID=40&md5=c7057fb380d5ccfeacfa66d52b686bf5",Article,Scopus
"Kohlberg L.","Stage and sequence: The cognitive-developmental approach to socialization",1969,"Handbook of Socialization Theory and Research",,,Scopus
"Sykes G.M., Matza D.","Techniques of neutralization: A theory of delinquency",1957,"American Sociological Review",,,Scopus
"Compeau D.R., Higgins C.A.","Computer self-efficacy: Development of a measure and initial test",1995,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-49149116092&doi=10.2307%2f249688&partnerID=40&md5=c2f806496f15cc9ced1d4960a8aacfdd",Article,Scopus
[No author name available],[No title available],2000,"New York Times",,,Scopus
"Jarvis C.B., Mackenzie S.B., Podsakoff P.M., Giliatt N., Mee J.F.","A Critical Review of Construct Indicators and Measurement Model Misspecification in Marketing and Consumer Research",2003,"Journal of Consumer Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242424963&doi=10.1086%2f376806&partnerID=40&md5=8005b733484cad52126aa3710b9e00e1",Review,Scopus
"Field A.","Discovering statistics using SPSS for Windows",2000,"Discovering Statistics Using SPSS for Windows",,,Scopus
"Ajzen I., Madden T.J.","Prediction of goal-directed behavior: Attitudes, intentions, and perceived behavioral control",1986,"Journal of Experimental Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37249036235&doi=10.1016%2f0022-1031%2886%2990045-4&partnerID=40&md5=68315feec18ff511a9a2fcd4a2821687",Article,Scopus
"Davis F.D.","A technology acceptance model for empirically testing new end-user information systems: Theory and results",1986,"A Technology Acceptance Model for Empirically Testing New End-user Information Systems: Theory and Results",,,Scopus
"Barclay D., Higgins C., Thompson R.","The partial least squares (PLS) approach to causal modeling: Personal computer adoption and use as an illustration",1995,"Technology Studies",,,Scopus
"Cialdini R.B., Reno R.R., Kallgren C.A.","A Focus Theory of Normative Conduct: Recycling the Concept of Norms to Reduce Littering in Public Places",1990,"Journal of Personality and Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001590626&doi=10.1037%2f0022-3514.58.6.1015&partnerID=40&md5=291a12bfc2c6a08f103213f2f847e85a",Article,Scopus
"Diamantopoulos A., Winklhofer H.M.","Index construction with formative indicators: An alternative to scale development",2001,"Journal of Marketing Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035534144&doi=10.1509%2fjmkr.38.2.269.18845&partnerID=40&md5=d980ef5558574770b096a3510be455a5",Article,Scopus
"Rogers R.W.","A protection motivation theory of fear appeals and attitude change",1975,"Journal of Psychology",,,Scopus
"Braithwaite J.",[No title available],1989,"Crime, Shame and Reintegration",,,Scopus
"Dutton J.E., Dukerich J.M., Harquail C.V.","Organizational images and member identification",1994,"Administrative Science Quarterly",,,Scopus
"AGNEW R.","FOUNDATION FOR A GENERAL STRAIN THEORY OF CRIME AND DELINQUENCY",1992,"Criminology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984313122&doi=10.1111%2fj.1745-9125.1992.tb01093.x&partnerID=40&md5=934a7c21dfbf75089ec23fe614cbd9a0",Article,Scopus
"Adams J.S.","Towards an understanding of inequity",1963,"Journal of Abnormal and Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001603538&doi=10.1037%2fh0040968&partnerID=40&md5=9fee6a0efab4987f082c33191b691059",Article,Scopus
"Mathieson K.","Predicting user intentions: Comparing the technology acceptance model with the theory of planned behavior",1991,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73549114871&doi=10.1287%2fisre.2.3.173&partnerID=40&md5=7f749d91c6ef4f05e6b912a23d3fecb4",Article,Scopus
"Rogers R.W.","Cognitive and physiological processes in fear appeals and attitude change: A revised theory of protection motivation",1983,"Social Psychophysiology",,,Scopus
"Davis J.H., Schoorman F.D., Donaldson L.","Toward a stewardship theory of management",1997,"Academy of Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031521902&doi=10.5465%2fAMR.1997.9707180258&partnerID=40&md5=2957f0d9b9aea1447f253a179f6b6895",Article,Scopus
"Karahanna E., Straub D.W., Chervany N.L.","Information technology adoption across time: A cross-sectional comparison of pre-adoption and post-adoption beliefs",1999,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001094004&doi=10.2307%2f249751&partnerID=40&md5=7acb914e0d45b85b0ad1c6d10c50f7c2",Article,Scopus
"Elliott D.S., Huizinga D., Ageton S.S.",[No title available],1985,"Explaining Delinquency and Drug Use",,,Scopus
"Falk R.F., Miller N.B.",[No title available],1992,"A Primer for Soft Modeling",,,Scopus
"Bollen K., Lennox R.","Conventional Wisdom on Measurement: A Structural Equation Perspective",1991,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347973105&doi=10.1037%2f0033-2909.110.2.305&partnerID=40&md5=f08197b7e6149e54bdcf475d7766f116",Article,Scopus
"Liang H., Saraf N., Hu Q., Xue Y.","Assimilation of enterprise systems: The effect of institutional pressures and the mediating role of top management",2007,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847761422&doi=10.2307%2f25148781&partnerID=40&md5=dfa4e86a79015e559af53dcd00695260",Article,Scopus
"Sheppard B.H., Hartwick J., Warshaw P.R.","The theory of reasoned action: A meta-analysis of past research with recommendations for modifications and future research",1988,"Journal of Consumer Research",,,Scopus
"Gefen D., Straub D.","A practical guide to factorial validity using PLS-graph: Tutorial and annotated example",2005,"Communications of the Association for Information Systems",,,Scopus
"Thompson R.L., Higgins C.A., Howell J.M.","Personal computing: Toward a conceptual model of utilization",1991,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38749129220&doi=10.2307%2f249443&partnerID=40&md5=a7a049d403c3c3026f5a98e45a66e55a",Article,Scopus
"Petter S., Straub D., Rai A.","Specifying formative constructs in information systems research",2007,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549116762&doi=10.2307%2f25148814&partnerID=40&md5=318f3b1cded4e7fe068954d5d292e343",Article,Scopus
"Gist M.E., Mitchell T.R.","Self-efficacy: A theoretical analysis of its determinants and malleability",1992,"Academy of Management Review",,,Scopus
"Kelman H.C.","Compliance, identification, and internalization three processes of attitude change",1958,"Journal of Conflict Resolution","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000590429&doi=10.1177%2f002200275800200106&partnerID=40&md5=5cad355a7d426ec627d1633dc5199121",Article,Scopus
"Stajkovic A.D., Luthans F.","Self-Efficacy and Work-Related Performance: A Meta-Analysis",1998,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032375196&doi=10.1037%2f0033-2909.124.2.240&partnerID=40&md5=78afcaf03dcb238332c1afe3aaf2c8dd",Article,Scopus
"Malhotra N.K., Kim S.S., Patil A.","Common method variance in IS research: A comparison of alternative approaches and a reanalysis of past research",2006,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845547851&doi=10.1287%2fmnsc.1060.0597&partnerID=40&md5=3425eedc02b67a31db46cd3328234382",Article,Scopus
"Witte K., Allen M.","A meta-analysis of fear appeals: Implications for effective public health campaigns",2000,"Health Education and Behavior","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034296795&doi=10.1177%2f109019810002700506&partnerID=40&md5=4dc2637c03d32f7a329705052d01df2c",Article,Scopus
"Kohlberg L.","Moral stages and moralization: The cognitive-developmental approach",1976,"Moral Development and Behavior: Theory, Research and Social Issues",,,Scopus
"Straub D., Boudreau M.-C., Gefen D.","Validation guidelines for IS positivist research",2004,"Communications of the Association for Information Systems",,,Scopus
"Malhotra N.K., Kim S.S., Agarwal J.","Internet users' information privacy concerns (IUIPC): The construct, the scale, and a causal model",2004,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-13244298307&doi=10.1287%2fisre.1040.0032&partnerID=40&md5=d47653eaca134cd465ba01c95f63cf80",Review,Scopus
"Straub D.W.","Validating instruments in MIS research",1989,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249123249&doi=10.2307%2f248922&partnerID=40&md5=cff830bd97d23612b45c2c258cf1efa3",Article,Scopus
"Cialdini R.B., Kallgren C.A., Reno R.R.","A Focus Theory of Normative Conduct: A Theoretical Refinement and Reevaluation of the Role of Norms in Human Behavior",1991,"Advances in Experimental Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957089545&doi=10.1016%2fS0065-2601%2808%2960330-5&partnerID=40&md5=5f70106bf1b0ecb49fc7451278ce9625",Article,Scopus
"Grasmick H.G., Tittle C.R., Bursik R.J., Jr., Arneklev B.J.","Testing the core empirical implications of gottfredson and hirschi's general theory of crime",1993,"Journal of Research in Crime and Delinquency","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027476181&doi=10.1177%2f0022427893030001002&partnerID=40&md5=701b0195b542f5337a4c70fcc0e953ac",Article,Scopus
"Pavlou P.A., Huigang L., Yajiong X.","Understanding and mitigating uncertainty in online exchange relationships: A principal-agent perspective",2007,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847764616&doi=10.2307%2f25148783&partnerID=40&md5=218e756aef7ad0eb264b4429ea764999",Article,Scopus
"Buchanan J.M.","An economic theory of clubs",1965,"Economica",,,Scopus
"Bandura A.","Health promotion from the perspective of social cognitive theory",1998,"Psychology and Health","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142532888&doi=10.1080%2f08870449808407422&partnerID=40&md5=2176d33e338516ec27e09a7788037e22",Article,Scopus
"Akers R.L.",[No title available],1985,"Deviant Behavior: A Social Learning Approach",,,Scopus
"McLure Wasko M., Faraj S.","""It is what one does"": Why people participate and help others in electronic communities of practice",2000,"Journal of Strategic Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346437614&doi=10.1016%2fS0963-8687%2800%2900045-7&partnerID=40&md5=de467991f64a3914d259041d2b946e63",Article,Scopus
"Pratt T.C., Cullen F.T.","The empirical status of Gottfredson and Hirschi's general theory of crime: A meta-analysis",2000,"Criminology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039842473&doi=10.1111%2fj.1745-9125.2000.tb00911.x&partnerID=40&md5=3f8725fa5d41c133920b4c97e4daecd6",Article,Scopus
"Akers R.L.",[No title available],1998,"Social Learning and Social Structure: A General Theory of Crime and Deviance",,,Scopus
"Bagozzi R.P.","The self-regulation of attitudes, intentions, and behavior",1992,"Social Psychology Quarterly",,,Scopus
"Eisenhardt Kathleen M.","CONTROL: ORGANIZATIONAL AND ECONOMIC APPROACHES.",1985,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022013369&doi=10.1287%2fmnsc.31.2.134&partnerID=40&md5=4bf3850060ad003f2144c165725d44cb",Article,Scopus
"Ehrlich I.","Participation in illegitimate activities: A theoretical and empirical investigation",1973,"Journal of Political Economy",,,Scopus
"Floyd D.L., Prentice-Dunn S., Rogers R.W.","A meta-analysis of research on protection motivation theory",2000,"Journal of Applied Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034397237&doi=10.1111%2fj.1559-1816.2000.tb02323.x&partnerID=40&md5=b18d6d8fc184ef24dc9022f4bd27af6e",Article,Scopus
"Rest J.R.",[No title available],1979,"Development in Judging Moral Issues",,,Scopus
"Amabile T.M.","How to kill creativity.",1998,"Harvard business review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032161358&partnerID=40&md5=7178726f931732c7b9a2e49a325167e7",Article,Scopus
"Maddux J.E., Rogers R.W.","Protection motivation and self-efficacy: A revised theory of fear appeals and attitude change",1983,"Journal of Experimental Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000242433&doi=10.1016%2f0022-1031%2883%2990023-9&partnerID=40&md5=858b512b210ce2238c95ad2ad6312586",Article,Scopus
"Tyler T.R., Huo Y.J.",[No title available],2002,"Trust in the Law: Encouraging Public Cooperation with the Police and Courts",,,Scopus
"Leidner D.E., Kayworth T.","Review: A review of culture in information systems research: Toward a theory of information technology culture conflict",2006,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846010136&doi=10.2307%2f25148735&partnerID=40&md5=95015ddf78fb52c428bb3ef136f2b2d6",Review,Scopus
"Bénabou R., Tirole J.","Intrinsic and extrinsic motivation",2003,"Review of Economic Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4243371198&doi=10.1111%2f1467-937X.00253&partnerID=40&md5=d1cdb97ab606ad3b31864bdc69360d53",Article,Scopus
"MacKenzie S.B., Podsakoff P.M., Jarvis C.B.","The problem of measurement model misspecification in behavioral and organizational research and some recommended solutions",2005,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24944589695&doi=10.1037%2f0021-9010.90.4.710&partnerID=40&md5=68d2197327eade9ac108b3e25b901b6b",Review,Scopus
"Rosenthal R., Rosnow R.L., Rubin D.B.","Contrasts and effect sizes in behavioral research: A correlational approach",2000,"Contrasts and Effect Sizes in Behavioral Research: A Correlational Approach",,,Scopus
"Ardichvili A., Page V., Wentling T.","Motivation and barriers to participation in virtual knowledge-sharing communities of practice",2003,"Journal of Knowledge Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986170723&doi=10.1108%2f13673270310463626&partnerID=40&md5=c3ef7628e80365d35f00b6f344c90982",Article,Scopus
"Sutherland E.H., Cressey D.R.",[No title available],1978,"Criminology",,,Scopus
"Greenberg J.","Employee Theft as a Reaction to Underpayment Inequity: The Hidden Cost of Pay Cuts",1990,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000649106&doi=10.1037%2f0021-9010.75.5.561&partnerID=40&md5=d5d508eac13fa76645c1356c33f62863",Article,Scopus
"Cronbach L.J.","Test validation",1971,"Educational Measurement",,,Scopus
"Akers R.L., Krohn M.D., Lanza-Kaduce L., Radosevich M.","Social learning and deviant behavior: a specific test of a general theory.",1979,"American sociological review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018503050&doi=10.2307%2f2094592&partnerID=40&md5=e74a193eeecd118b11aee40ec7a6c9f1",Review,Scopus
"Pavlou P.A., El Sawy O.A.","From IT leveraging competence to competitive advantage in turbulent environments: The case of new product development",2006,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748537394&doi=10.1287%2fisre.1060.0094&partnerID=40&md5=3dae805ce8956bf352b5b25040533c5c",Article,Scopus
"Zimbardo P.G.","The human choice: Individuation, reason, and order versus deindividuation, impulse, and chaos",1969,"Nebraska Symposium on Motivation",,,Scopus
"Doty D.H., Glick W.H.","Common methods bias: Does common methods variance really bias results?",1998,"Organizational Research Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001548448&doi=10.1177%2f109442819814002&partnerID=40&md5=c1c691fa60f68ac5c004270048caf713",Article,Scopus
"Kerlinger F.N., Lee H.B.",[No title available],2000,"Foundations of Behavioral Research",,,Scopus
"Keil M., Tan B.C.Y., Wei K.-K., Saarinen T., Tuunainen V., Wassenaar A.","A cross-cultural study on escalation of commitment behavior in software projects",2000,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040918921&doi=10.2307%2f3250940&partnerID=40&md5=f7dccfaa20c4b02a971c72922e73d044",Article,Scopus
"Ward J., Griffiths P.",[No title available],1996,"Strategic Planning for Information Systems",,,Scopus
"Beccaria C.",[No title available],1963,"On Crimes and Punishments",,,Scopus
"Venkatesh V., Brown S.A.","A longitudinal investigation of personal computers in homes: Adoption determinants and emerging challenges",2001,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002888544&doi=10.2307%2f3250959&partnerID=40&md5=f12a1606c1b84f5cbb5292ea7c4af746",Article,Scopus
"O'Fallon M.J., Butterfield K.D.","A review of the empirical ethical decision-making literature: 1996-2003",2005,"Journal of Business Ethics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-23944438620&doi=10.1007%2fs10551-005-2929-7&partnerID=40&md5=0ff412e0e9ccd1c7017280876618d48c",Article,Scopus
"Bernheim B.D.","A theory of conformity",1994,"Journal of Political Economy",,,Scopus
"Gist M.E.","Self-efficacy: Implications for organizational behavior and human resource management",1987,"Academy of Management Review",,,Scopus
"Heath C., Tversky A.","Preference and belief: Ambiguity and competence in choice under uncertainty",1991,"Journal of Risk and Uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038880247&doi=10.1007%2fBF00057884&partnerID=40&md5=319fc4139be26c3c9e4459d5670e499e",Article,Scopus
"Gordon L.A., Loeb M.P., Lucyshyn W., Richardson R.","CSI/FBI computer crime and security survey",2004,"CSI/FBI Computer Crime and Security Survey",,,Scopus
"Milne S., Sheeran P., Orbell S.","Prediction and intervention in health-related behavior: A meta-analytic review of protection motivation theory",2000,"Journal of Applied Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033622371&doi=10.1111%2fj.1559-1816.2000.tb02308.x&partnerID=40&md5=78e9e5ed1a58516dedc68aded4d82f42",Article,Scopus
"Straub D.W., Welke R.J.","Coping with systems risk: Security planning models for management decision making",1998,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001133137&doi=10.2307%2f249551&partnerID=40&md5=840dd1428144c6e21b5fe948f511f43d",Article,Scopus
"Herath T., Rao H.R.","Protection motivation and deterrence: A framework for security policy compliance in organisations",2009,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650152666&doi=10.1057%2fejis.2009.6&partnerID=40&md5=776aa6c034a4a941a522d6fe01830c7d",Article,Scopus
"D'Arcy J., Hovav A., Galletta D.","User awareness of security countermeasures and its impact on information systems misuse: A deterrence approach",2009,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649551429&doi=10.1287%2fisre.1070.0160&partnerID=40&md5=d112282cb040d52b0c759d1d87464ef2",Article,Scopus
"Mathieson K., Peacock E., Chin W.W.","Extending the Technology Acceptance Model: The Influence of Perceived User Resources",2001,"Data Base for Advances in Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-25844487151&doi=10.1145%2f506724.506730&partnerID=40&md5=cffe2702aa0e8327057c84ed058c86f4",Article,Scopus
"Medsker G.J., Williams L.J., Holahan P.J.","A Review of Current Practices for Evaluating Causal Models in Organizational Behavior and Human Resources Management Research",1994,"Journal of Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43949152336&doi=10.1177%2f014920639402000207&partnerID=40&md5=6cc53293b14b81ab52db1241f1487385",Article,Scopus
"Gibbs J.P.",[No title available],1975,"Crime, Punishment, and Deterrence",,,Scopus
"Wiener Y.","Commitment in organizations: A normative view",1982,"Academy of Management Review",,,Scopus
"Triandis H.C.",[No title available],1971,"Attitude and Attitude Change",,,Scopus
"Akers R.L.",[No title available],1994,"Criminological Theories: Introduction and Evaluation",,,Scopus
"Alexander C.S., Becker H.J.","The use of vignettes in survey research",1978,"Public Opinion Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845964294&doi=10.1086%2f268432&partnerID=40&md5=2daa941027d70de15f5a0e479efa4ce4",Article,Scopus
"Boudreau M.-C., Gefen D., Straub D.W.","Validation in information systems research: A state-of-the-art assessment",2001,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744260316&doi=10.2307%2f3250956&partnerID=40&md5=602990434739fdc44c51c8e0e7a1d5cd",Article,Scopus
"Igbaria M., Iivari J.","The effects of self-efficacy on computer usage",1995,"Omega","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001009310&doi=10.1016%2f0305-0483%2895%2900035-6&partnerID=40&md5=edde7a323b21452239ac4302b06849a3",Article,Scopus
"Finch J.","The vignette technique in survey research",1987,"Sociology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970405810&doi=10.1177%2f0038038587021001008&partnerID=40&md5=e87ad2be1dddd129820fe8c24f6bfa58",Article,Scopus
"Grasmick H.G., Bursik R.J.","Conscience, significant others, and rational choice: Extending the deterrence model",1990,"Law and Society Review",,,Scopus
"Mason R.O.","Four ethical issues of the information age",1986,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249097295&doi=10.2307%2f248873&partnerID=40&md5=a6a1433accbb9befe399539fc53aaaef",Article,Scopus
"Nagin D.S., Paternoster R.","Enduring individual differences and rational choice theories of crime",1993,"Law and Society Review",,,Scopus
"Straub Jr. D.W.","Effective IS security: An empirical study",1990,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000280419&doi=10.1287%2fisre.1.3.255&partnerID=40&md5=7254de37c6c52ffe8d5f097ec5ac2cb0",Article,Scopus
