Authors,Title,Year,Source title,Link,Document Type,Source
"Moore G.C., Benbasat I.","Development of an instrument to measure the perceptions of adopting an information technology innovation",1991,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73449149291&doi=10.1287%2fisre.2.3.192&partnerID=40&md5=a37a9fd47cd98e8dcde3ac1e8df7e009",Article,Scopus
"Carmines E.G., Zeller R.A.","Reliability and validity assessment",1979,"Reliability and Validity Assessment",,,Scopus
"Powell W.W., Koput K.W., Smith-Doerr L.","Interorganizational collaboration and the locus of innovation: Networks of learning in biotechnology",1996,"Administrative Science Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030306449&doi=10.2307%2f2393988&partnerID=40&md5=6ed741c2907c08af7aee405cb0fcec5b",Article,Scopus
"Lindblom C.E.","The science of muddling through",1959,"Public Administration Review",,,Scopus
"Williamson O.E.","Transaction-cost economics: The governance of contractual relations",1979,"Journal of Law and Economics",,,Scopus
"Grant R.M.","The Resource-Based Theory of Competitive Advantage: Implications for Strategy Formulation",1991,"California Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968099966&doi=10.2307%2f41166664&partnerID=40&md5=3be7669cd2c4d948d7f0348d6c7e4abf",Article,Scopus
"Levitt B., March J.G.","Organizational learning",1988,"Annual Review of Sociology",,,Scopus
"Henderson R.M., Clark K.B.","Architectural innovation: The reconfiguration of existing product technologies and the failure of established firms",1990,"Administrative Science Quarterly",,,Scopus
"Dierickx I., Cool K.","Asset stock accumulation and sustainability of competitive advantage",1989,"Management Science",,,Scopus
"Jaworski B.J., Kohli A.K.","Market orientation: Antecedents and consequences",1993,"Journal of Marketing",,,Scopus
"Miles R.E., Snow C.C.",[No title available],1978,"Organizational Strategy, Structure, and Process",,,Scopus
"Amit R., Schoemaker P.J.H.","Strategic assets and organizational rent",1993,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989092230&doi=10.1002%2fsmj.4250140105&partnerID=40&md5=dba5f49823eb63caa0b1c69d43af8bf4",Article,Scopus
"Osterwalder A., Pigneur Y.",[No title available],2010,"Business Model Generation",,,Scopus
"Porter M.E.",[No title available],1985,"Competitive Advantage",,,Scopus
"Levinthal D.A., March J.G.","The myopia of learning",1993,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989063836&doi=10.1002%2fsmj.4250141009&partnerID=40&md5=b5d123a1b797d30bf5934c6b29e8c273",Article,Scopus
"Ricardo D.",[No title available],1817,"The Principles of Political Economy and Taxation",,,Scopus
"Ashby W.R.",[No title available],1956,"An Introduction to Cybernetics",,,Scopus
"Lindell M.K., Whitney D.J.","Accounting for common method variance in cross-sectional research designs",2001,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991904404&doi=10.1037%2f0021-9010.86.1.114&partnerID=40&md5=6a3895898ebf8494d78b2e0be61339ae",Article,Scopus
"Gefen D., Straub D., Boudreau M.","Structural equation modeling and regression: Guidelines for research practice",2000,"Communications of the Association for Information Systems",,,Scopus
"Schumpeter J.A.",[No title available],1954,"History of Economic Analysis",,,Scopus
"Pawson R., Tilley N.",[No title available],1997,"Realistic Evaluation",,,Scopus
"Buyya R., Yeo C.S., Venugopal S., Broberg J., Brandic I.","Cloud computing and emerging IT platforms: Vision, hype, and reality for delivering computing as the 5th utility",2009,"Future Generation Computer Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-63649117166&doi=10.1016%2fj.future.2008.12.001&partnerID=40&md5=cc44cba36b6a2a7c08abac904f351544",Article,Scopus
"Mintzberg H.","The structuring of organizations",1979,"The Structuring of Organizations",,,Scopus
"Bhattacherjee A.","Understanding information systems continuance: An expectation-confirmation model",2001,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000998647&doi=10.2307%2f3250921&partnerID=40&md5=bcd1ddf8c0b536aaddf30bdc30748fcd",Article,Scopus
"Surowiecki J.",[No title available],2004,"The Wisdom of Crowds",,,Scopus
"Amabile T.M.",[No title available],1996,"Creativity in Context",,,Scopus
"Gerbing D.W., Anderson J.C.","An updated paradigm for scale development incorporating unidimensionality and its assessment",1988,"Journal of Marketing Research",,,Scopus
"Staiger D., Stock J.H.","Instrumental variables regression with weak instruments",1997,"Econometrica","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346307687&doi=10.2307%2f2171753&partnerID=40&md5=391855336b8537888ae084c96bf4a16d",Article,Scopus
"Taleb N.N.",[No title available],2007,"The Black Swan: The Impact of the Highly Improbable",,,Scopus
"Chin W.W.","Issues and opinion on structural equation modeling",1998,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002042337&partnerID=40&md5=4385da2ebfbe717f06324e00e6ab9a99",Review,Scopus
"Hulland J.","Use of partial least squares (PLS) in strategic management research: A review of four recent studies",1999,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000230521&doi=10.1002%2f%28sici%291097-0266%28199902%2920%3a2%3c195%3a%3aaid-smj13%3e3.0.co%3b2-7&partnerID=40&md5=4b77841347590623614cf057cb417f79",Article,Scopus
"Ringle C.M., Wende S., Becker J.-M.","SmartPLS 3",2015,"SmartPLS 3",,,Scopus
"Leonard‐Barton D.","Core capabilities and core rigidities: A paradox in managing new product development",1992,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938687906&doi=10.1002%2fsmj.4250131009&partnerID=40&md5=74613b0261ed64b524f0c4edf4d9947e",Article,Scopus
"Chin W.W., Marcelin B.L., Newsted P.R.","A partial least squares latent variable modeling approach for measuring interaction effects: Results from a Monte Carlo simulation study and an electronic-mail emotion/adoption study",2003,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042242856&doi=10.1287%2fisre.14.2.189.16018&partnerID=40&md5=9fc1325b8e655f3042bd210792b074fe",Article,Scopus
"Zollo M., Winter S.G.","Deliberate learning and the evolution of dynamic capabilities",2002,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036014175&doi=10.1287%2forsc.13.3.339.2780&partnerID=40&md5=072655de03420a36e7ffc73e72936ea7",Article,Scopus
"Strauss A., Corbin J.","Grounded theory methodology: An overview",1994,"Handbook of Qualitative Research",,,Scopus
"Grant R.M.","Prospering in Dynamically-competitive Environments: Organizational Capability as Knowledge Integration",1996,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030505108&doi=10.1287%2forsc.7.4.375&partnerID=40&md5=e1c48fb720cc935bada309222d0c88c1",Article,Scopus
"Teece D.J.","Business models, business strategy and innovation",2010,"Long Range Planning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952581340&doi=10.1016%2fj.lrp.2009.07.003&partnerID=40&md5=43554b9b1cdb63f678b19488a41d2766",Article,Scopus
"Shapiro C., Varian H.R.","Information rules: A strategic guide to the network economy",1999,"Information Rules: A Strategic Guide to the Network Economy",,,Scopus
"Peffers K., Tuunanen T., Rothenberger M.A., Chatterjee S.","A design science research methodology for information systems research",2007,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39749104751&doi=10.2753%2fMIS0742-1222240302&partnerID=40&md5=7197b8ba5d16cb8db9717e8cd7d9072b",Article,Scopus
"Jarvis C.B., Mackenzie S.B., Podsakoff P.M., Giliatt N., Mee J.F.","A Critical Review of Construct Indicators and Measurement Model Misspecification in Marketing and Consumer Research",2003,"Journal of Consumer Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242424963&doi=10.1086%2f376806&partnerID=40&md5=8005b733484cad52126aa3710b9e00e1",Review,Scopus
"Alexander C., Ishikawa S., Silverstein M.",[No title available],1977,"A Pattern Language: Towns, Buildings, Construction",,,Scopus
"Williamson O.E.","The economics of organization: The transaction cost approach",1981,"American Journal of Sociology",,,Scopus
"Janis I.L., Mann L.",[No title available],1977,"Decision Making: A Psychological Analysis of Conflict, Choice, and Commitment",,,Scopus
"Klein H.K., Myers M.D.","A set of principles for conducting and evaluating interpretive field studies in information systems",1999,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001946339&doi=10.2307%2f249410&partnerID=40&md5=18a010339a901019fab06052a5bd0304",Article,Scopus
"Porter M.E.","What is strategy?",1996,"Harvard Business Review",,,Scopus
"Zeithaml V.A., Bitner M.J.",[No title available],2000,"Services Marketing: Integrating Customer Focus Across the Firm",,,Scopus
"Tenenhaus M., Vinzi V.E., Chatelin Y.-M., Lauro C.","PLS path modeling",2005,"Computational Statistics and Data Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10144243373&doi=10.1016%2fj.csda.2004.03.005&partnerID=40&md5=8dafcc176c9e2c2d8c1fc5ee266c0bf0",Article,Scopus
"Van Maanen J.",[No title available],1988,"Tales of the Field: On Writing Ethnography",,,Scopus
"Child J.","Organizational Structure, Environment and Performance: The Role of Strategic Choice",1972,"Sociology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744870364&doi=10.1177%2f003803857200600101&partnerID=40&md5=bffd001d84df913c45aaa4e8ec9471dc",Article,Scopus
"Amabile T.M., Conti R., Coon H., Lazenby J., Herron M.","Assessing the work environment for creativity",1996,"Academy of Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030305351&doi=10.2307%2f256995&partnerID=40&md5=7c683f585bb6f2569e9b6392fdce8eb0",Article,Scopus
"Davenport T.H.",[No title available],1993,"Process Innovation: Reengineering Work Through Information Technology",,,Scopus
"Mintzberg H.","The rise and fall of strategic planning",1994,"The Rise and Fall of Strategic Planning",,,Scopus
"Ahuja G.","Collaboration networks, structural holes, and innovation: A longitudinal study",2000,"Administrative Science Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034336937&doi=10.2307%2f2667105&partnerID=40&md5=94655ed9af7f1bc5f048c364c0a2bdef",Article,Scopus
"Bharadwaj A.S.","A resource-based perspective on information technology capability and firm performance: An empirical investigation",2000,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744285772&doi=10.2307%2f3250983&partnerID=40&md5=0300f008ef53b7414fe7f91697e9d826",Article,Scopus
"Barney J.B.","Strategic factor markets: Expectations, luck, and business strategy",1986,"Management Science",,,Scopus
"Drucker P.F.","The practice of management",1954,"The Practice of Management",,,Scopus
"Benbasat I., Goldstein D.K., Mead M.","The case research strategy in studies of information systems",1987,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249084997&doi=10.2307%2f248684&partnerID=40&md5=3f8c543931b9a67b0b86da050bc87e9d",Article,Scopus
"Diamantopoulos A., Winklhofer H.M.","Index construction with formative indicators: An alternative to scale development",2001,"Journal of Marketing Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035534144&doi=10.1509%2fjmkr.38.2.269.18845&partnerID=40&md5=d980ef5558574770b096a3510be455a5",Article,Scopus
"Gold A.H., Malhotra A., Segars A.H.","Knowledge management: An organizational capabilities perspective",2001,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034906005&doi=10.1080%2f07421222.2001.11045669&partnerID=40&md5=8928585cbc0aeab43666f49271c2a0e3",Article,Scopus
"Amit R., Zott C.","Value creation in e-business",2001,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000355662&doi=10.1002%2fsmj.187&partnerID=40&md5=5646f20084318501affee5d24425b667",Article,Scopus
"Orlikowski W.J.","Using Technology and Constituting Structures: A Practice Lens for Studying Technology in Organizations",2000,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034416232&doi=10.1287%2forsc.11.4.404.14600&partnerID=40&md5=532c01b2ac004dd39901ca06999c63b8",Article,Scopus
"Porter M.E., Millar V.E.","How information gives you competitive advantage",1985,"Harvard Business Review",,,Scopus
"Laudon K.C., Laudon J.P.",[No title available],1998,"Management Information Systems",,,Scopus
"Orlikowski W.J.","The duality of technology: Rethinking the concept of technology in organizations",1992,"Organization Science",,,Scopus
"Johnson G., Scholes K.",[No title available],1993,"Exploring Corporate Strategy",,,Scopus
"Russo M.V., Fouts P.A.","A resource-based perspective on corporate environmental performance and profitability",1997,"Academy of Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031510753&doi=10.2307%2f257052&partnerID=40&md5=2fa9f4878878a4cd2611832eb3daa6c2",Article,Scopus
"Easley D., Kleinberg J.",[No title available],2010,"Networks, Crowds, and Markets: Reasoning about A Highly Connected World",,,Scopus
"Spender J.-C.","Making knowledge the basis of a dynamic theory of the firm",1996,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344594026&doi=10.1002%2fsmj.4250171106&partnerID=40&md5=18ff67512f269e5c8f3d0663965f566b",Article,Scopus
"Fornell C., Bookstein F.L.","Two structural equation models: LISREL and PLS applied to consumer exit-voice theory",1982,"Journal of Marketing Research",,,Scopus
"Edwards J.R., Lambert L.S.","Methods for integrating moderation and mediation: A general analytical framework using moderated path analysis",2007,"Psychological Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247234116&doi=10.1037%2f1082-989X.12.1.1&partnerID=40&md5=d0cbc30db5f0364e6276767e8b0df0cb",Article,Scopus
"Agarwal R., Karahanna E.","Time flies when you're having fun: Cognitive absorption and beliefs about information technology usage",2000,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000913978&doi=10.2307%2f3250951&partnerID=40&md5=bb235a17c9dc876eb8239b9caee78bda",Article,Scopus
"Shane S.","Prior Knowledge and the Discovery of Entrepreneurial Opportunities",2000,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034394879&doi=10.1287%2forsc.11.4.448.14602&partnerID=40&md5=882d4b65e50436f30031c148ab7f323c",Article,Scopus
"Castellano C., Fortunato S., Loreto V.","Statistical physics of social dynamics",2009,"Reviews of Modern Physics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549108449&doi=10.1103%2fRevModPhys.81.591&partnerID=40&md5=ae0eb437c2938c19491efe2bbfdae42a",Article,Scopus
"Holland J.H.",[No title available],1995,"Hidden Order: How Adaptation Builds Complexity",,,Scopus
"Brown S.L., Eisenhardt K.M.","The art of continuous change: Linking complexity theory and time-paced evolution in relentlessly shifting organizations",1997,"Administrative Science Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031097789&doi=10.2307%2f2393807&partnerID=40&md5=ca9f5c4e121e2dfaef7dd8ae5b2f1e3e",Article,Scopus
